Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
ABB/Con-Cise Optical Group LLC,2023-01-13,2022-10-13,2022-10-13,"4 Skyline Dr  Hawthorne, NY, 10532",Westchester,Closure,Permanent,Other,2,107,107
"Advance Local Media, LLC (Syracuse)",2022-08-14,2022-05-16,2022-05-16,"101 North Salina Street  Syracuse, NY, 13202",Onondaga,,N/A,Economic,60,41,41
"Amazon (Amazon 4-star, Books, and Pop Up stores) (4 NYC sites)",2022-07-09,2022-04-01,2022-04-01,"  New York, NY, 10001",New York,,N/A,Economic,64,51,51
American Grill Investor LLC,2023-02-13,2022-11-15,2022-11-15,"20 Hudson Yards, RU401A  New York, NY, 10001",New York,Closure,Permanent,Economic,22,63,63
"Amneal Pharmaceuticals, LLC",2022-12-31,2022-09-28,2022-09-28,"75 Adams Avenue  Hauppauge, NY, 11788",Suffolk,Closure,Permanent,Economic,42,13,13
"Applegreen (5365 State Route 233, Westmoreland, NY 13490 Oneida)",2022-05-16,2022-02-14,2022-02-14,"5365 State Route 233  Westmoreland, NY, 13490",Oneida,,N/A,Economic,74,61,61
"Applegreen (7029 Aldridge Road, Victor, NY)",2022-06-01,2022-02-16,2022-02-16,"7029 Aldridge Road  Victor, NY, 14564",Ontario,,N/A,Economic,73,38,38
"AQ Wiring Systems NY, Inc.",2022-07-07,2022-06-30,2022-06-30,"18 Northern Ave., Suite 100  Plattsburgh, NY, 12903",Clinton,,N/A,As a result of the economic impact of the Nova Bus strike in Canada,1,58,58
Athenex Pharma Solutions,2023-03-17,2022-12-15,2022-12-15,"11342 Main Street  Clarence, NY, 14031",Erie,Closure,Permanent,Economic,6,92,92
"Avon Products, Inc.",2023-02-03,2022-11-03,2022-11-03,"1 Avon Place  Suffern, NY, 10901",Rockland,Closure,Permanent,Economic,27,138,138
"Ben Elias Industries, Corp. and Kenco Retail Inc.",2022-08-04,2022-05-06,2022-05-06,"100 Inip Drive  Inwood, NY, 11096",Nassau,,N/A,Economic,61,79,79
"Ben Elias Industries, Corp. and Kenco Retail Inc.",2022-08-04,2022-05-06,2022-05-06,"Multiple sites  New York, NY, 11368",Queens,,N/A,Economic,62,38,38
"Berenberg Capital Markets, LLC",2022-09-05,2022-06-07,2022-06-07,"1251 Ave. of the Americas  New York, NY, 10020",New York,,N/A,Economic,55,47,47
"Better Holdco, Inc.",2022-11-04,2022-11-04,2022-11-04,"3 World Trade Center 57th Floor New York, NY, 10007",New York,Layoff,Permanent,Economic,25,28,28
BlockFi Inc.,2023-02-27,2022-11-28,2022-11-28,"150 Broadway  New York, NY, 10038",New York,Layoff,Permanent,Economic,19,167,167
"Cable News Network, Inc., CNN America, Inc., WarnerMedia, LLC., Discovery Communications, LLC, and Turner Services Inc. (CNN+)",2022-07-20,2022-04-25,2022-04-25,"30 Hudson Yards  New York, NY, 10001",New York,Layoff,Permanent,Economic,63,239,239
