Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Brosnan Risk Consultants, Ltd.",2025-03-04,2024-12-04,2024-12-17,"1 Blue Hill Plaza Suite 1538, 14th Floor Pearl River, NY, 10965",Rockland,Closure,N/A,Economic,5,87,87
"Brunch and Budget, LLC.",2024-06-03,2024-05-22,2024-06-04,"418 East 35th Street  Brooklyn, NY, 11203",Kings,Layoff,Permanent,Economic,55,2,2
"Buth-Na-Bodhaige, Inc.",2024-03-01,2024-03-01,2024-03-04,"368 9th Avenue  New York, NY, 10001",New York,Closure,Permanent,Bankruptcy,14,28,28
"Cadence Education, LLC",2024-09-10,2024-09-10,2024-09-16,"270 Airport Plaza  Farmingdale, NY, 11735",Nassau,Closure,Permanent,Economic,27,21,21
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"95 W 168th St  Bronx, NY, 10452",Bronx,Layoff,Permanent,Contract Expiration,16,17,17
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"529 Courtlandt Ave  Bronx, NY, 10451",Bronx,Layoff,Permanent,Contract Expiration,17,34,34
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"560 Concord  Bronx, NY, 10455",Bronx,Layoff,Permanent,Contract Expiration,18,17,17
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"685 East 182nd Street  Bronx, NY, 10457",Bronx,Layoff,Permanent,Contract Expiration,19,7,7
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"1750 Mansion St  Bronx, NY, 10460",Bronx,Layoff,Permanent,Contract Expiration,20,11,11
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"1926 Longfellow Ave.  Bronx, NY, 10460",Bronx,Layoff,Permanent,Contract Expiration,21,4,4
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"2331 University Ave  Bronx, NY, 10468",Bronx,Layoff,Permanent,Contract Expiration,22,24,24
Cardinal McCloskey Community Services - Head Start Programs,2024-06-30,2024-03-26,2024-04-02,"3044 Hull Ave  Bronx, NY, 10467",Bronx,Layoff,Permanent,Contract Expiration,23,18,18
"Champion Logistics, Inc.",2024-09-30,2024-09-20,2024-09-23,"55-15 Grand ave  Maspeth, NY, 11378",Queens,Closure,Permanent,Contract Loss,16,87,87
"Charter Communications, Inc.",2024-12-19,2024-09-19,2024-09-20,"120 Plaza Drive  Vestal, NY, 13850",Broome,Closure,Permanent,Relocation of Business,6,124,124
"CHEP Services, LLC",2024-09-06,2024-05-29,2024-05-30,"6600 New Venture Gear Drive  East Syracuse, NY, 13057",Onondaga,Closure,Permanent,Economic,56,58,58
"Citibank, N.A.",2024-06-29,2024-03-29,2024-04-01,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,83,363,363
"Citigroup Global Markets, Inc.",2024-06-29,2024-03-29,2024-04-01,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,82,62,62
"Citigroup Technology, Inc.",2024-06-29,2024-03-29,2024-04-01,"388 Greenwich Street  New York, NY, 10013",New York,Layoff,Permanent,Economic,81,4,4
