Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
29th Street NY Food and Beverage Operating Company LLC,2023-08-25,2023-08-11,2023-08-11,"29 E. 29th Street  New York, NY, 10016",New York,Closure,Permanent,Economic,42,87,87
29th Street NY Food and Beverage Operating Company LLC,2023-08-25,2023-08-11,2023-08-11,"30 E. 30th Street  New York City, NY, 10016",New York,Closure,Permanent,Economic,43,38,38
AAF International,2023-07-03,2023-04-04,2023-04-13,"1 Vapor Trail  Hudson, NY, 12534",Columbia,Closure,Permanent,Economic,79,90,90
"ABM Industries, Inc.",2023-06-30,2023-05-16,2023-05-19,"2100 Smithtown Avenue Ronkonkoma New York, NY, 11779",Suffolk,Layoff,Temporary,Contract Loss,27,75,75
ABN AMRO USA,2023-12-31,2023-09-25,2023-09-25,"100 Park Avenue, 17th Floor  New York, NY, 10017",New York,Layoff,Permanent,Economic,32,52,52
"AgeWell New York, LLC",2023-12-30,2023-08-25,2023-09-29,"1991 Marcus Avenue Suite M107 Lake Success, NY, 11042",Nassau,Closure,Permanent,Funding Loss,3,68,68
"AK (Abigail Kirsch) 530 Hospitality, LLC d/b/a Twenty Three Grand and Jimmy Soho",2024-02-06,2023-11-08,2023-11-13,"Jimmy Soho 23 Grand Street New York, NY, 10013",New York,Layoff,Permanent,Contract Termination,12,28,28
"AK (Abigail Kirsch) 530 Hospitality, LLC d/b/a Twenty Three Grand and Jimmy Soho",2024-02-06,2023-11-08,2023-11-13,"Twenty Three Grand 23 Grand Street New York, NY, 10013",New York,Layoff,Permanent,Contract Termination,13,101,101
Akorn Operating Company LLC,2023-02-23,2023-02-22,2023-02-22,"369 Bayview Avenue  Amityville, NY, 11701",Suffolk,Closure,Permanent,Economic,91,303,303
Alliance University,2023-06-30,2023-07-14,2023-07-17,"2 Washington St Lbby  New York, NY, 10004",New York,Closure,Permanent,Other,12,159,159
"Alteryx, Inc.",2023-07-30,2023-04-28,2023-05-04,"19 West 44th Street  New York, NY, 10036",New York,Layoff,Permanent,Economic,66,30,30
Amazon,2023-04-18,2023-01-18,2023-01-18,"450 W 33rd St  New York, NY, 10001",New York,Layoff,Permanent,Economic,100,299,299
Amyris Inc.,2023-08-08,2023-08-07,2023-08-07,"134 Spring St suites 201 and 304 New York, NY, 10012",New York,Closure,Permanent,Economic,44,36,36
API Heat Transfer Inc.,2024-05-31,2023-11-30,2023-12-05,"91 North Street PO Box 68 Arcade, NY, 14009",Wyoming,Closure,Permanent,Economic,16,130,130
Applegreen USA Travel Plazas Central Services LLC (Capital Region),2023-05-22,2023-03-14,2023-03-14,"Mile Post 153 East and Mile Post 168 North  Schenectady, Pattersonville, NY, 12303",Schenectady,Closure,Temporary,Building Renovations,5,54,54
Applegreen USA Travel Plazas Central Services LLC (Finger Lakes Region),2023-06-06,2023-03-14,2023-03-14,"Mile Post 366 East  Scottsville, NY, 14546",Monroe,Closure,Temporary,Building Renovations,3,49,49
Applegreen USA Travel Plazas Central Services LLC (Hudson Valley Region),2023-05-19,2023-03-14,2023-03-14,"Mile Post 33 North; Mile Post 103 North; Mile Post 96 South  Sloatsburg, Saugerties, Ulster, NY, 10974",Rockland,Closure,Temporary,Building Renovations,4,129,129
Applegreen USA Travel Plazas Central Services LLC (Western Region),2023-06-06,2023-03-14,2023-03-14,"Mile Post 447 East  Angola, NY, 14006",Erie,Closure,Temporary,Building Renovations,2,18,18
Astor Services for Children & Families Residential Facility,2023-06-30,2023-03-29,2023-04-12,"6339 Mill Street  Rhinebeck, NY, 12572",Dutchess,Closure,Permanent,Economic,82,62,62
"Athenex, Inc.",2023-05-12,2023-05-12,2023-05-15,"1001 Main Street, Suite 600  Buffalo, NY, 14203",Erie,Closure,Permanent,Bankruptcy Funding Loss,1,79,79
"Athenex, Inc.",2023-05-12,2023-05-12,2023-05-15,"11342 Main Street  Clarence, NY, 14031",Erie,Closure,Permanent,Bankruptcy Funding Loss,2,44,44
Auction Direct USA LP,2024-03-19,2023-12-20,2023-12-21,"6520 State Route 96  Victor, NY, 14564",Ontario,Closure,Permanent,Economic,11,57,57
"Avenues World Holdings, LLC",2023-11-10,2023-10-10,2025-06-18,"11 Madison Square North, 16th Floor  New York, NY, 10010",New York,Closure,Permanent,Economic,2,56,56
Ball Corporation Beverage Packaging,2023-08-18,2023-05-18,2023-05-24,"95 Ballard Rd.  Middletown, NY, 10941",Orange,Closure,Permanent,Economic,63,143,143
"Bandier Holdings, LLC; Bandier Commerce, LLC; Bandier Madison LLC; Bandier, LLC; Bandier Flatiron, LLC",2023-11-22,2023-11-22,2023-11-29,"38 E 29th St Floor 5 New York, NY, 10016",New York,Layoff,Permanent,Economic Other,1,37,37
"Bandier Holdings, LLC; Bandier Commerce, LLC; Bandier Madison LLC; Bandier, LLC; Bandier Flatiron, LLC",2023-11-22,2023-11-22,2023-11-29,"44B Main St  Southampton, NY, 11968",Suffolk,Layoff,Permanent,Economic Other,5,4,4
"Bandier Holdings, LLC; Bandier Commerce, LLC; Bandier Madison LLC; Bandier, LLC; Bandier Flatiron, LLC",2023-11-22,2023-11-22,2023-11-29,"108 5th Ave  New York, NY, 10011",New York,Layoff,Permanent,Economic Other,2,6,6
"Bandier Holdings, LLC; Bandier Commerce, LLC; Bandier Madison LLC; Bandier, LLC; Bandier Flatiron, LLC",2023-11-22,2023-11-22,2023-11-29,"1061 Madison Ave  New York, NY, 10028",New York,Layoff,Permanent,Economic Other,3,4,4
"Bandier Holdings, LLC; Bandier Commerce, LLC; Bandier Madison LLC; Bandier, LLC; Bandier Flatiron, LLC",2023-11-22,2023-11-22,2023-11-29,"NY Remote Employee  New York, NY, 10011",New York,Layoff,Permanent,Economic Other,4,1,1
"BDC Restaurants, LLC",2023-05-31,2023-05-16,2023-05-19,"167 Chambers Street  New York, NY, 10013",New York,Closure,Permanent,Sale of Business,3,50,50
"Bed Bath & Beyond Inc. (620 6th Avenue, NYC Region)",2023-07-26,2023-04-24,2023-05-03,"620 6th Avenue  New York, NY, 10011",New York,Closure,Permanent,Bankruptcy Economic,1,73,73
"Bed, Bath & Beyond, Inc. (460 Third Avenue, NYC Region)",2023-05-02,2023-02-01,2023-02-01,"460 Third Avenue  New York, NY, 10016",New York,Closure,Permanent,Economic,95,30,30
"Bed, Bath & Beyond, Inc. (1932 Broadway, NYC Region)",2023-05-02,2023-02-01,2023-02-01,"1932 Broadway  New York, NY, 10023",New York,Closure,Permanent,Economic,96,53,53
"Bed, Bath & Beyond, Inc. (Elmsford, Mid-Hudson Region)",2023-05-01,2023-01-30,2023-01-30,"251 East Main Street  Elmsford, NY, 10523",Westchester,Closure,Permanent,Economic,97,57,57
"Bentzy's Construction, lnc.",2023-07-04,2023-04-05,2023-04-13,"373 Herzl Street  Brooklyn, NY, 11212",Kings,Closure,Permanent,Economic,77,62,62
"Berenberg Capital Markets, LLC",2024-01-22,2023-10-24,2023-10-26,"1251 Avenue of the Americas 53rd Floor New York, NY, 10020",New York,Layoff,Permanent,Economic,21,30,30
"BG Salon, LLC.",2023-07-05,2023-04-05,2023-04-13,"Bergdorf Goodman, 754 Fifth Avenue, 9th Floor Penthouse  New York, NY, 10019",New York,Closure,Permanent,Economic,78,52,52
"Bitwise Industries, Inc.",2023-06-14,2023-06-14,2023-06-16,"199 Scott Street  Buffalo, NY, 14204",Erie,Closure,Permanent,Other,17,10,10
Blue School,2023-08-31,2023-06-01,2023-06-14,"241 Water Street  New York, NY, 10038",New York,Closure,Permanent,Economic,57,54,54
Bon Appetit,2023-06-30,2023-05-02,2023-05-08,"198 College Hill Rd  Clinton, NY, 13323",Oneida,Layoff,Permanent,Contract Loss,29,76,76
"Boxed, LLC",2023-03-13,2023-03-09,2023-03-09,"61 Broadway Floor 30 New York, NY, 10006",New York,Layoff,Permanent,Economic,87,32,32
Broadcom Inc. -  VMware Inc.,2024-02-26,2023-11-27,2023-11-29,"2 Penn Plaza  New York, NY, 10121",New York,Layoff,Permanent,Economic Merger,1,2,2
Broadcom Inc. -  VMware Inc.,2024-02-26,2023-11-27,2023-11-29,"636 Avenue of the Americas  New York, NY, 10011",New York,Layoff,Permanent,Economic Merger,2,13,13
Broadcom Inc. -  VMware Inc.,2024-02-26,2023-11-27,2023-11-29,"Remote Employees  New York, NY, 10011",New York,Layoff,Permanent,Economic Merger,3,154,154
Brookfield BHS Advisors,2023-10-24,2023-07-25,2023-08-07,"395 9th Avenue 52nd Floor New York, NY, 10001",New York,Closure,Permanent,Economic,45,60,60
"BuzzFeed Media Enterprises, Inc.",2023-08-03,2023-05-05,2023-05-08,"229 W 43rd St  New York, NY, 10036",New York,Closure,Permanent,Other,31,36,36
"Caldwell Manufacturing Company North America, LLC",2024-01-12,2023-10-09,2023-10-11,"2605 Manitou Road  Rochester, NY, 14624",Monroe,Closure,Permanent,Economic,25,41,41
Catholic Charities Neighborhood Services Inc.,2023-06-30,2023-03-30,2023-04-12,"183-16 Jamaica Avenue 2nd FL Jamaica, NY, 11423",Queens,Closure,Permanent,Funding Loss,5,36,36
Catholic Charities Neighborhood Services Inc.,2023-06-30,2023-03-24,2023-04-12,"1328 Putnam Avenue  Brooklyn, NY, 11221",Kings,Layoff,Permanent,Other,32,78,78
Cayuga Home for Children (Third Ave NYC),2023-06-30,2023-03-29,2023-04-12,"2417 Third Ave Suite 701 Bronx, NY, 10451",Bronx,Closure,N/A,Other,33,0,0
Cazenovia College,2023-05-15,2023-02-10,2023-02-10,"22 Sullivan Street  Cazenovia, NY, 13035",Madison,Closure,Permanent,Economic,94,552,552
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"1 Federal Plaza  New York, NY, 10278",New York,Closure,Permanent,Contract Loss,19,320,320
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"2 Niagara Square  Buffalo, NY, 14202",Erie,Closure,Permanent,Contract Loss,17,25,25
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"10 Broad Street  Utica, NY, 13501",Oneida,Closure,Permanent,Contract Loss,20,3,3
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"14 Durkee Street  Plattsburgh, NY, 12901",Clinton,Closure,Permanent,Contract Loss,16,4,4
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"15 Henry Street  Binghamton, NY, 13901",Broome,Closure,Permanent,Contract Loss,15,5,5
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"100 South Clinton Street  Syracuse, NY, 13261",Onondaga,Closure,Permanent,Contract Loss,21,24,24
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"100 State Street  Rochester, NY, 14614",Monroe,Closure,Permanent,Contract Loss,18,14,14
"Centerra Group, LLC (USMS 2nd Circuit Courts)",2023-09-30,2023-08-08,2023-08-23,"300 Quarropas Street  White Plains, NY, 10601",Westchester,Closure,Permanent,Contract Loss,23,26,26
