Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
Alutiiq-Wackenhut Security Services,2007-01-31,2006-12-04,2006-12-04,"664 Eichelberger Road  West Point, NY, 10996",Orange,,N/A,Expiration of contract with the Army,1,95,95
Ames True Temper,2006-12-01,2006-10-05,2006-10-05,"4167 Acme Road  Frankfort, NY, 13340",Herkimer,,N/A,Economic,5,75,75
"Atlantic & Pacific Grill Associates, LLC a wholly owned subsidiary of The Smith & Wollensky Restaurant Group, Inc.",2007-01-01,2006-11-02,2006-11-02,"575 Park Avenue  New York, NY, 10021",New York,,N/A,The restaurant s property owner not renewing lease,1,80,80
"Bechtel Plant Machinery, Inc.",2006-10-11,2006-10-13,2006-10-13,"600 Liberty Street, P.O. Box 1021  Schenectady, NY, 12301",Schenectady,,N/A,Economic consolidating to Pittsburgh PA office,1,300,300
Birds Eye Foods,2006-11-15,2006-09-15,2006-09-15,"15 Church Street  Bergen, NY, 14416",Genesee,,N/A,Sale,8,248,248
Birds Eye Foods,2006-12-10,2006-09-15,2006-09-15,"40 Stevens Street  Oakfield, NY, 14125",Genesee,,N/A,Sale,9,240,240
Bombardier Transportation,2006-11-18,2006-09-22,2006-09-22,"71 Wall Street  Plattsburgh, NY, 12901",Clinton,,N/A,Completion of contracts to build Long Island Rail,1,264,264
"Burma Bibas, Inc.",2007-01-08,2006-11-07,2006-11-07,"21-09 Borden Avenue  Long Island City, NY, 11101",Queens,,N/A,Economic,1,75,75
Camp LaGuardia Shelter (Volunteers of America),2007-02-01,2006-12-29,2006-12-29,"1 LaGuardia Lane  Chester, NY, 10918",Orange,,N/A,Mayor Bloomberg s 5 year plan reduce homelessness,1,170,170
"Carolina Precision Plastics, LLC",2006-11-20,2006-09-25,2006-09-25,"100 13th Avenue  Ronkonkoma, NY, 11779",Suffolk,,N/A,Moving to North Carolina,1,84,84
Clarence Travel Plaza (HMSHost),2006-10-01,2006-08-02,2006-08-02,"Mile Post 412 West, NYS Thruway I-90 West, 4002 Ransom Road  Clarence, NY, 14031",Erie,,N/A,Expiration of contract with NYS Thruway Authority,1,42,42
Credit Suisse Asset Management LLC (CSAM),2006-08-02,2006-08-03,2006-08-03,"466 Lexington Avenue  New York, NY, 10017",New York,,N/A,Reorganization,1,223,223
"ESPN, Inc. Mobile ESPN MVNO",2007-02-28,2006-10-04,2006-10-04,"605 Third Avenue  New York, NY, 10158",New York,,N/A,Business circumstances,1,87,87
"Fiserv RSA, aka RSA Solutions",2007-01-05,2006-11-07,2006-11-07,"6400 Main Street  Amherst, NY, 14221",Erie,,N/A,Fiserv discontinuing business operations performed,1,121,121
"Forest Laboratories, Inc.",2006-09-29,2006-08-02,2006-08-02,"300, 303, 320 & 321 Prospect Street  Inwood, NY, 11096",Nassau,,N/A,Economic,12,58,58
Global Steel Products Corp.,2006-10-27,2006-09-11,2006-09-11,"95 Marcus Blvd.  Deer Park, NY, 11729",Suffolk,,N/A,Economic,6,65,65
"Gussco Manufacturing, Inc.",2006-12-15,2006-10-18,2006-10-18,"5112 Second Avenue  Brooklyn, NY, 11232",Kings,,N/A,Economic,3,67,67
"HMX Tailored (aka M. Wile & Company, Inc.) cutting room",2006-11-01,2006-09-05,2006-09-05,"2020 Elmwood Avenue  Buffalo, NY, 14207",Erie,,N/A,Economic,8,140,140
"Home Market Foods, Inc. Freezer Queen division",2006-07-06,2006-07-20,2006-07-20,"975 Fuhrmann Boulevard  Buffalo, NY, 14203",Erie,,N/A,Unforeseen business circumstances,1,170,170
"Intrepid Sea, Air and Space Museum",2006-09-30,2006-07-26,2006-07-26,"Pier 86, West 46th Street and 12th Avenue  New York, NY, 10036",New York,,N/A,Pier Renovation and Ship refurbishing,1,179,179
"J. C. Penney Corporation, Inc. (Store #1718)",2006-11-05,2006-08-21,2006-08-21,"Lake Success Shopping Center, 1490 Union Turnpike  New Hyde Park L.I., NY, 11040",Nassau,,N/A,Economic,9,59,59
Lillian Vernon Corporation (headquarters),2006-10-27,2006-09-05,2006-09-05,"445 Hamilton Avenue  White Plains, NY, 10601",Westchester,,N/A,Moving headquarter to its operations facility VA,1,108,108
"Mail Terminal Services, LLC",2007-02-17,2006-12-06,2006-12-06,"140 58 Street, Suite 2-B  Brooklyn, NY, 11220",Kings,,N/A,Consolidation,1,65,65
"Markar Architectural Products, Inc.",2006-10-05,2006-08-03,2006-08-03,"68 Ward Road  Lancaster, NY, 14086",Erie,,N/A,Economic,11,49,49
MCP-AV,2006-09-30,2006-08-01,2006-08-01,"The Manhattan Center, 305 West 34th Street  New York, NY, 10001",New York,,N/A,Expiration of ESPN contract on 9 30 06,1,42,42
Neil Buick Corporation,2006-09-25,2006-07-24,2006-07-24,"1800 Route 112  Medford, NY, 11763",Suffolk,,N/A,Pending Sale,1,36,36
Neil Buick Corporation d/b/a Neil Dodge,2006-09-25,2006-07-24,2006-07-24,"1788 Route 112  Medford, NY, 11763",Suffolk,,N/A,Pending Sale,2,18,18
Neil Buick Corporation d/b/a Neil Isuzu,2006-09-25,2006-07-24,2006-07-24,"1800 Route 112  Medford, NY, 11763",Suffolk,,N/A,Pending Sale,3,1,1
Neil Lincoln-Mercury/Hyundai Corp.,2006-09-25,2006-07-24,2006-07-24,"1900 Route 112  Medford, NY, 11763",Suffolk,,N/A,Pending Sale,4,21,21
Neil Lincoln-Mercury/Hyundai Corp. d/b/a Neil Hyundai,2006-09-25,2006-07-24,2006-07-24,"1900 Route 112  Medford, NY, 11763",Suffolk,,N/A,Pending Sale,5,23,23
New York Board of Fire Underwriters Fire Patrol House,2006-10-15,2006-08-10,2006-08-10,"12 Dean Street  Brooklyn, NY, 11201",Kings,,N/A,Loss of funding,1,32,32
New York Board of Fire Underwriters Fire Patrol House,2006-10-15,2006-08-10,2006-08-10,"40 Fulton Street  New York, NY, 10021",New York,,N/A,Loss of funding,2,2,2
New York Board of Fire Underwriters Fire Patrol House,2006-10-15,2006-08-10,2006-08-10,"84 West 3rd Street  New York, NY, 10012",New York,,N/A,Loss of funding,3,29,29
New York Board of Fire Underwriters Fire Patrol House,2006-10-15,2006-08-10,2006-08-10,"240 West 30th Street  New York, NY, 10021",New York,,N/A,Loss of funding,4,27,27
