Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
AJM Packaging Corporation,,2008-11-21,2008-11-21,"86 Emjay Boulevard  Brentwood, NY, 11717",Suffolk,,N/A,Economic,38,126,126
All Saints Catholic Academy-Diocese of Rochester,2008-06-30,2008-05-01,2008-05-01,"170 Spencerport Road  Rochester, NY, 14606",Monroe,,N/A,Low Enrollment,1,27,27
"Altria Group, Inc. and Altria Client Services, Inc. formerly known as Altria Corporate Services, Inc.",2008-03-31,2008-01-30,2008-01-30,"120 Park Avenue  New York, NY, 10017",New York,,N/A,Company restructuring,1,440,440
Amalgamated Life,2008-10-20,2008-09-11,2008-09-11,"730 Broadway  New York, NY, 10003",New York,,N/A,Economic,69,466,466
American Airlines,2008-08-31,2008-07-02,2008-07-02,"John F. Kennedy International Airport Bldg 57  Jamaica, NY, 11430",Queens,,N/A,Economic,83,10,10
American Airlines,2008-08-31,2008-07-02,2008-07-02,"LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Economic,84,650,650
"American Axle & Manufacturing, Inc.",2008-08-11,2008-06-09,2008-06-09,"2390 Kenmore Avenue  Tonawanda, NY, 14150",Erie,,N/A,Economic,86,260,260
American Transit Inc.,,2008-10-30,2008-10-30,"722 Nepperhan Avenue  Yonkers, NY, 10703",Westchester,,N/A,Loss of Contract,3,50,50
American Transit Inc.,2008-12-31,2008-10-30,2008-10-30,"1200 Zerega Avenue  Bronx, NY, 10462",New York,,N/A,Loss of Contract,2,400,400
"Angiotech Pharmaceuticals, Inc.(B.G. Sulzle Inc.)",2008-08-15,2008-06-17,2008-06-17,"1 Needle Lane  North Syracuse, NY, 13212",Onondaga,,N/A,Outsourcing Production to Puerto Rico,1,175,175
Antares Information Technologies Inc.,2008-12-08,2008-12-15,2008-12-15,"1140 Motor Parkway  Hauppauge, NY, 11788",Suffolk,,N/A,Economic,15,199,199
Antares Information Technologies Inc. (Warehouse),2008-12-08,2008-12-15,2008-12-15,"90 Plant Avenue  Hauppauge, NY, 11788",Suffolk,,N/A,Economic,16,,
"Aramark Educational Service, LLC",2008-09-01,2008-08-22,2008-08-22,"Valley Stream School District  Valley Stream, NY, 11580",Nassau,,N/A,Loss of Contract,5,62,62
ARAMARK Management Services Limited Partnership,2008-04-25,2008-02-26,2008-02-26,"St. Vincent's Catholic Medical Center, 153 W. 11th Street  New York, NY, 10011",New York,,N/A,Contract expiration,2,22,22
ARAMARK Management Services Limited Partnership,2008-05-16,2008-03-20,2008-03-20,"St. Vincent's Catholic Medical Center, 275 North Street  Harrison, NY, 10528",Westchester,,N/A,Contract expiration,1,6,6
Aramark Management Services Ltd. (Bayley Seton Hospital),2008-06-27,2008-04-30,2008-04-30,"75 Vanderbilt Avenue  Staten Island, NY, 10303",Richmond,,N/A,Contract Loss,3,25,25
Aramark Management Services Ltd. (St. Elizabeth Ann's Health Care & Rehab),2008-06-27,2008-04-30,2008-04-30,"91 Tompkin Avenue  Staten Island, NY, 10304",Richmond,,N/A,Contract Loss,4,35,35
"Aramark Sports and Entertainment Services, LLC",2009-01-31,2008-12-04,2008-12-04,"Ellis Island Immigration Museum  New York, NY, ",New York,,N/A,Economic,28,66,66
ArcelorMittal USA Inc.,2009-03-22,2008-12-29,2008-12-29,"3175 Lakeshore Road  Blasdell, NY, 14219",Erie,,N/A,Economic,5,313,313
"ATA Airlines, Inc",2008-04-03,2008-04-08,2008-04-08,"Central Terminal Bldg., LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Economic,99,,
"ATA Airlines, Inc",2008-04-03,2008-04-08,2008-04-08,"JFK International Airport/JFK Expy & S Cargo Rd  Jamaica, NY, 11430",New York,,N/A,Economic,98,220,220
Atria on the Hudson,2008-08-25,2008-07-01,2008-07-01,"321 North Highland Avenue  Ossining, NY, 10562",Westchester,,N/A,Renovation of facility,1,51,51
Barclays Capital Inc.,2008-12-02,2008-10-14,2008-10-14,"200 Park Avenue  New York, NY, 10166",New York,,N/A,Economic Bought Lehman Brothers,1,500,500
Barclays Capital Inc.,2008-12-02,2008-10-14,2008-10-14,"399 Park Avenue  New York, NY, 10166",New York,,N/A,Economic Bought Lehman Brothers,2,,
Barclays Capital Inc.,2008-12-02,2008-10-14,2008-10-14,"745 Seventh Avenue  New York, NY, 10166",New York,,N/A,Economic Bought Lehman Brothers,3,,
Barclays Capital Inc.,2008-12-02,2008-10-14,2008-10-14,"1271 Avenue of the Americas  New York, NY, 10166",New York,,N/A,Economic Bought Lehman Brothers,4,,
Barclays Capital Inc.,2008-12-02,2008-10-14,2008-10-14,"1301 Avenue of the Americas  New York, NY, 10166",New York,,N/A,Economic Bought Lehman Brothers,5,,
BH S & B Holdings LLC (acquired certain assets of Steve & Barry's),2008-11-17,2008-11-19,2008-11-19,"12 Harbor Park Drive  Port Washington, NY, 11050",Nassau,,N/A,Economic,40,118,118
