Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
A & P  Store #734,,2010-08-16,2010-08-16,"329 Downing Drive  Yorktown Heights, NY, 10598",Westchester,,N/A,Economic,56,42,42
Abbott House  - Bellevue I Girls Group Home,2011-04-01,2010-12-28,2010-12-28,"330 East 26th Street  New York, NY, 10010",New York,,N/A,Funding cuts,3,9,9
Abbott House  - Bellevue II Boys Group Home,2011-04-01,2010-12-28,2010-12-28,"485 First Avenue #4F  New York, NY, 10016",New York,,N/A,Funding cuts,4,7,7
Abbott House - Campus - RTC,2011-04-01,2010-12-28,2010-12-28,"100 North Broadway  Irvington, NY, 10533",Westchester,,N/A,Funding cuts,5,57,57
Abbott House - Group Home,2011-04-01,2010-12-28,2010-12-28,"100 North Broadway  Irvington, NY, 10533",Westchester,,N/A,Funding cuts,6,5,5
Abbott House  - Quincy Street Group Home,2011-04-01,2010-12-28,2010-12-28,"426 Quincy Street  Brooklyn, NY, 11221",Kings,,N/A,Funding cuts,2,10,10
Abbott House  - University Avenue Group Home,2011-04-01,2010-12-28,2010-12-28,"2217 University Avenue  Bronx, NY, 10453",Bronx,,N/A,Funding cuts,1,10,10
ABM Engineering Services,,2010-10-08,2010-10-08,"26 Federal Plaza  New York, NY, ",New York,,N/A,Loss of Contract,2,49,49
Acme Architectural Products,2010-06-22,2010-07-13,2010-07-13,"251 Lombardy Street  Brooklyn, NY, 11222",Kings,,N/A,Economic,70,200,200
Aging in America,,2010-04-07,2010-04-07,"1500 Pelham Parkway  Bronx, NY, 10461",Bronx,,N/A,Loss of contract with DFTA of Title V Program,1,27,27
"Ahtna Technical Services, Inc. (ATSI)",,2010-01-11,2010-01-11,"The Varick Federal Detention Facility/201 Varick Street 4th Floor  New York, NY, 10014",New York,,N/A,Loss of contract option,2,140,140
"Allied Barton Security Services LLC - The Allied for Downtown NY, Inc.",,2010-05-25,2010-05-25,"104 Washington Street  New York, NY, 10006",New York,,N/A,Loss of contract,2,58,58
"America's Best Bottled Water DBA Waterboy, Inc.",,2010-09-01,2010-09-01,"40 Marcus Boulevard  Hauppauge, NY, 11788",Suffolk,,N/A,Economic,50,67,67
American Eagle Outfitters Inc. (Martin+Osa brand discontinued at the New York Design Center),2010-03-12,2010-03-12,2010-03-12,"417 Fifth Avenue, 8th and 9th Floors  New York, NY, 10016",New York,,N/A,Martin+Osa brand discontinued,1,102,102
American Steamship Company,2010-10-12,2010-07-16,2010-07-16,"500 Essjay Road  Williamsville, NY, 14221",Erie,,N/A,Economic,67,305,305
"Angelica Textile Services, Inc.",,2010-06-17,2010-06-17,"125 Bath Street  Ballston Spa, NY, 12020",Saratoga,,N/A,Economic,83,93,93
ARAMARK,,2010-07-06,2010-07-06,"Delta Airlines Terminal 4, JFK International Airport  Jamaica, NY, 11430",Queens,,N/A,Loss of Contract,7,140,140
Aramark - Monroe Community College,,2010-05-13,2010-05-13,"1000 Henrietta Road  Rochester, NY, 14623",Monroe,,N/A,Loss of Contract,8,59,59
Aramark Food & Support Services,,2010-03-05,2010-03-05,"JPMC, 270 Park Avenue  New York, NY, 10017",New York,,N/A,Renovation of facility,1,32,32
Aramark LLC @ New York University,,2010-03-16,2010-03-16,"33 Third Avenue (Lower Level)  New York, NY, 10003",New York,,N/A,Possible Contract Loss,1,327,327
Aramark Managed Services Limited Partnership,,2010-05-27,2010-05-27,"Mt. Sinai Hospital One Gustav L.Levy Place  New York, NY, 10029",New York,,N/A,Economic,93,28,28
"Asset Protection & Security Services, LP subcontractor to (ATSI)",,2010-01-12,2010-01-12,"The Varick Federal Detention Facility/201 Varick Street 4th Floor  New York, NY, 10014",New York,,N/A,Loss of contract option,1,81,81
AT&T,2010-08-20,2010-06-15,2010-06-15,"22 Thomas Street  New York, NY, ",New York,,N/A,Economic,85,24,24
Atlantic Express Transportation Corp.,,2010-04-29,2010-04-29,"7 North Street  Staten Island, NY, 10302",New York,,N/A,Unable to reach contract agreement with DOE,1,"3,031","3,031"
"Atlantic Paratrans of NYC, Inc.",2010-10-04,2010-10-05,2010-10-05,"58-75 Maurice Avenue  Maspeth, NY, 11378",Queens,,N/A,Cancelled contract with Transit Authority,1,610,610
Atria Senior Living Group,,2010-05-20,2010-05-20,"146 Glen Street  Glen Cove, NY, 11542",Nassau,,N/A,Renovation of the site,1,37,37
Atria Senior Living Group - Sterling Glen Core at Home,,2010-05-20,2010-05-20,"96 Cuttermill Road  Great Neck, NY, 11021",Nassau,,N/A,Renovation of the site,2,16,16
