Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
11 Penn TV LLC,,2009-09-24,2009-09-24,"11 Penn Plaza  New York, NY, 10001",New York,,N/A,Economic termination of contract,1,16,16
A. L. Lee Memorial Hospital,2009-03-31,2009-04-06,2009-04-06,"510 S. Fourth Street  Fulton, NY, 13069",Oswego,,N/A,Berger Impacted,1,371,371
AIG Advisor Group - Brokerage Operations,2009-12-09,2009-09-11,2009-09-11,"One World Financial Center  New York, NY, 10281",New York,,N/A,Economic,72,41,41
Aircraft Parts Corporation,,2009-05-04,2009-05-04,"100 Corporate Drive  Holtsville, NY, 11742",Suffolk,,N/A,Economic,201,110,110
"Akel Wholesale Grocery, Inc.",,2009-05-22,2009-05-22,"P.O. Box 490  Johnson City, NY, 13790",Broome,,N/A,Economic,159,35,35
"Alamo Rent a Car & National Car Rental (Vanguard Care Rental USA, Inc.--distribution shuttlers)",2009-07-31,2009-05-01,2009-05-01,"219 W. 77th Street  New York, NY, 10024",New York,,N/A,Economic,203,171,171
"Alan Ritchey, Inc.",2009-12-16,2009-09-16,2009-09-16,"Heartland Business Center, 91 Heartland Blvd  Edgewood, NY, 11717",Greene,,N/A,Economic,66,80,80
Alcoa Primary Metals - Massena East Plant,2009-07-10,2009-05-11,2009-05-11,"194 County Route 45  Massena, NY, 13662",St Lawrence,,N/A,Economic,193,170,170
Alstom Transportation Inc.,2010-01-18,2009-10-21,2009-10-21,"1 Transit Drive  Hornell, NY, 14843",Steuben,,N/A,Economic,47,502,502
American Airlines (JFK),2009-10-01,2009-06-22,2009-06-22,"John F. Kennedy International Airport Bldg 57  Jamaica, NY, 11430",Queens,,N/A,Economic,137,58,58
American Airlines (LaGuardia Airport),2009-10-01,2009-06-22,2009-06-22,"LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Economic,138,456,456
American LaFrance,2009-04-20,2009-04-23,2009-04-23,"S-4760 Camp Rd  Hamburg, NY, 14075",Erie,,N/A,Economic,216,70,70
American Steamship Company,2010-03-25,2009-12-23,2009-12-23,"500 Essjay Road  Williamsville, NY, 14221",Erie,,N/A,Economic,6,319,319
American Steamship Company,2009-06-18,2009-07-08,2009-07-08,"500 Essjay Road  Williamsville, NY, 14221",Erie,,N/A,Economic,122,204,204
American Steamship Company,2009-03-10,2009-03-18,2009-03-18,"500 Essjay Road  Williamsville, NY, 14221",Erie,,N/A,Economic,267,493,493
"Americorp, Inc.",2009-07-15,2009-07-17,2009-07-17,"311 Crossways Park Drive  Woodbury, NY, 11797",Nassau,,N/A,Economic,110,35,35
Amsterdam Memorial Hospital,,2009-03-03,2009-03-03,"4988 State Highway 30  Amsterdam, NY, 12010",Montgomery,,N/A,Economic,293,495,495
Aramark Food & Support Services,2009-08-02,2009-05-05,2009-05-05,"United Nations Headquarters, 760 United Nations Plaza  New York, NY, 10017",New York,,N/A,Economic,197,156,156
Aramark Management Services Limited Partnership (at Good Samaritan Hospital),,2009-09-17,2009-09-17,"255 Lafayette Avenue  Suffern, NY, 10901",Rockland,,N/A,Loss of contract,1,77,77
ArcelorMittal USA Inc.,2009-05-24,2009-05-22,2009-05-22,"3175 Lakeshore Road  Blasdell, NY, 14219",Erie,,N/A,Economic,173,,
Arrow Electronics,2010-01-29,2009-10-30,2009-10-30,"50 Marcus Drive  Melville, NY, 11747",Suffolk,,N/A,Economic,41,100,100
Artie's Delicatessen,,2009-12-07,2009-12-07,"2290 Broadway  New York, NY, 10024",New York,,N/A,Economic,17,72,72
"Astellas Pharma Manufacturing, Inc.",2009-03-31,2009-02-04,2009-02-04,"3125 Staley Road  Grand Island, NY, 14072",Erie,,N/A,Economic,334,86,86
Austrian Airlines,,2009-04-02,2009-04-02,"17-20 Whitestone Expressway  Queens, NY, 11357",New York,,N/A,Relocating to Lufthansa East Meadow NY,1,30,30
Austrian Airlines,,2009-04-02,2009-04-02,"JFK International Airport  New York, NY, 11357",New York,,N/A,Relocating to East Meadow NY,1,1,1
Automotive Corporation,,2009-01-29,2009-01-29,"4320 Federal Drive  Batavia, NY, 14020",Genesee,,N/A,Economic,342,34,34
