Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"7 East 54th St. LLC, dba Bice Ristorante",2013-12-26,2013-10-01,2013-10-01,"7 East 54th Street  New York, NY, 10022",New York,,N/A,Economic,60,66,66
12th Restaurant Inc. (Lindy's Restaurant),,2013-11-14,2013-11-14,"401 Seventh Avenue  New York, NY, ",New York,,N/A,Economic,28,25,25
12th Restaurant Inc. (Nathan's/ Roy Roger's/Tim Horton's Food Court),,2013-11-14,2013-11-14,"401 Seventh Avenue  New York, NY, ",New York,,N/A,Economic,29,21,21
"Abigail Kirsh II, LLC d/b/a Abigail Kirsch @The New York Botanical Garden (café operations)",,2013-09-18,2013-09-18,"200th Street and Southern Boulevard  Bronx, NY, 10458",Bronx,,N/A,Economic,69,66,66
"Abigail Kirsh II, LLC d/b/a Abigail Kirsch @The New York Botanical Garden (café operations)",,2013-07-25,2013-07-25,"200th Street and Southern Boulevard  Bronx, NY, 10458",Bronx,,N/A,Economic,94,37,37
Acme Bus Corp.,2013-08-16,2013-03-18,2013-03-18,"21 Fulton Street  Middletown, NY, 10940",Orange,,N/A,Contract Expiration with Orange Co Dept of Health,1,165,165
"Acme Bus Corporation/Baumann and Sons Buses, Inc. (Suffolk Co. Pre-K Program)",2013-06-30,2013-03-22,2013-03-22,"30 West Yaphank Road  Medford, NY, 11763",Suffolk,,N/A,Loss of Contract,5,52,52
"Acme Bus Corporation/Baumann and Sons Buses, Inc. (Suffolk Co. Pre-K Program)",,2013-03-22,2013-03-22,"351-4 Old Riverhead Road  Westhampton, NY, 11977",Suffolk,,N/A,Loss of Contract,6,70,70
Adecco Group,2013-12-09,2013-09-10,2013-09-10,"158 Wallace Way  Rochester, NY, 14624",Monroe,,N/A,Economic,72,75,75
Advanced Institutional Support Services dba AdvancedMeal,,2013-09-27,2013-09-27,"Van Duyn Home and Hospital 5075 W.  Seneca Turnpike  Syracuse, NY, 13215",Onondaga,,N/A,Sale of business,2,58,58
"Advanced Monolythic Ceramics, Inc.",2013-05-10,2013-02-04,2013-02-04,"3101 Constitution Avenue  Olean, NY, 14760",Cattaraugus,,N/A,Economic Consolidation,1,65,65
"Aeroground, Inc. d/b/a Menzies Aviation",,2013-04-17,2013-04-17,"JKF International Airport, 75 North Hanger Road  Jamaica, NY, 11430",Queens,,N/A,Economic,135,72,72
ALB/United Airlines,,2013-07-12,2013-07-12,"Albany Int'l Airport, 737 Albany Shaker Road  Albany, NY, 12211",Albany,,N/A,To be provided by an outside vendor,1,42,42
Albert Einstein College of Medicine of Yeshiva University (operating Sound View Throgs Neck Community Mental Health Center),,2013-03-28,2013-03-28,"1967 Turnbull Avenue  Bronx, NY, 10473",Bronx,,N/A,Montefiore Medical Center to take over operations,1,36,36
Albert Einstein College of Medicine of Yeshiva University (operating Sound View Throgs Neck Community Mental Health Center),,2013-03-28,2013-03-28,"2527 Glebe Avenue  Bronx, NY, 10461",Bronx,,N/A,Montefiore Medical Center to take over operations,2,56,56
"Alcohol and Drug Dependency Services, Inc. - Casa DiVita",,2013-12-27,2013-12-27,"200 Albany Street  Buffalo, NY, 14213",Erie,,N/A,Economic Inability to secure operating capital,1,8,8
"Alcohol and Drug Dependency Services, Inc. - Ivy House",,2013-12-27,2013-12-27,"3036 Broadway  Buffalo, NY, 14212",Erie,,N/A,Economic Inability to secure operating capital,2,5,5
"Alcohol and Drug Dependency Services, Inc. - Renaissance Campus",,2013-12-27,2013-12-27,"920 Harlem Road  West Seneca, NY, 14224",Erie,,N/A,Economic Inability to secure operating capital,3,25,25
"Alcohol and Drug Dependency Services, Inc. (Family Addiction Outpatient Services)",,2013-12-27,2013-12-27,"460 Main Street  Buffalo, NY, 14202",Erie,,N/A,Economic Inability to secure operating capital,4,13,13
"Alcohol and Drug Dependency Services, Inc. (Inpatient/Administrative/Rehab/Detox/Supportive Living Services)",,2013-12-27,2013-12-27,"291 Elm Street  Buffalo, NY, 14203",Erie,,N/A,Economic Inability to secure operating capital,5,53,53
All American School Bus Corp,,2013-03-26,2013-03-26,"4-09 26th Avenue  Long Island City, NY, 11102",Queens,,N/A,Economic,154,24,24
All American School Bus Corp,,2013-03-26,2013-03-26,"1101 Zerega Avenue  Bronx, NY, 10462",Bronx,,N/A,Economic,146,401,401
All American School Bus Corp,,2013-03-26,2013-03-26,"2240 Conner Street  Bronx, NY, 10466",Bronx,,N/A,Economic,147,5,5
Allstate Insurance Company/Allstate Buffalo Market Claim Office,,2013-09-17,2013-09-17,"425 Essjay Road  Suite 100  Williamsville, NY, 14221",Erie,,N/A,Office Consolidation,1,48,48
American Customer Care,,2013-07-19,2013-07-19,"150 N Main Street, 3rd Floor  Elmira, NY, 14901",Chemung,,N/A,Economic,97,43,43
American Homecare Supply a division of Landauer Metropolitan,,2013-08-13,2013-08-13,"76 Crabapple Lane  Watervliet, NY, 12189",Albany,,N/A,Possible Sale of Business,1,5,5
American Homecare Supply a division of Landauer Metropolitan,,2013-08-13,2013-08-13,"235 Middle Road  Henrietta, NY, 14467",Monroe,,N/A,Possible Sale of Business,4,4,4
American Homecare Supply a division of Landauer Metropolitan,,2013-08-13,2013-08-13,"2170 Union Road  West Seneca, NY, 14224",Erie,,N/A,Possible Sale of Business,3,29,29
American Medical Response,,2013-05-30,2013-05-30,"930 Flushing Avenue  Brooklyn, NY, 11206",Kings,,N/A,Economic,119,119,119
American Medical Response,,2013-05-30,2013-05-30,"1160 Lincoln Avenue  Holbrook, NY, 11741",Suffolk,,N/A,Economic,120,29,29
