Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"1 BB Food and Drink Corp. (1 Hotel Brooklyn, Bridge)",2018-05-10,2018-04-06,2018-04-06,"60 Furman Street  Brooklyn, NY, 11201",Kings,,N/A,Contract expired,10,144,144
"""21"" Club",2018-01-03,2018-02-06,2018-02-06,"21 W. 52nd Street  New York, NY, 10019",New York,,N/A,Economic,255,154,154
"A.B.C. Carpet Co., Inc./A.B.C. Oriental Carpets, Inc",2019-01-14,2018-10-17,2018-10-17,"881 Broadway  New York, NY, 10003",New York,,N/A,Economic,42,16,16
"A.B.C. Carpet Co., Inc./A.B.C. Oriental Carpets, Inc",2019-01-14,2018-10-17,2018-10-17,"888 Broadway  New York, NY, 10003",New York,,N/A,Economic,43,6,6
ACME Bus Corp. and Brookset Bus Corp.,2018-06-30,2018-03-30,2018-03-30,"30 West Yaphank Road  Coram, NY, 11763",Suffolk,,N/A,Economic,215,134,134
Advanced Motors and Drives (Nidec Kinetek Company),2018-08-13,2018-07-17,2018-07-17,"6268 East Molloy Road  East Syracuse, NY, 13057",Onondaga,,N/A,Economic,127,51,51
Affinity Health Plan (Medicare Product Line),2018-12-31,2018-10-01,2018-10-01,"1776 Eastchester Road  Bronx, NY, 10461",Bronx,,N/A,Cessation of the Medicare product line,1,28,28
Airline Service Professionals LLC (at the JFK International Airport for Jet Blue),2018-07-27,2018-04-26,2018-04-26,"Building 81 South Cargo Road  Jamaica, NY, 11430",Queens,,N/A,Economic,183,236,236
AllianceBernstein L.P.,2019-01-31,2018-10-09,2018-10-09,"1 North Lexington Ave #17  White Plains, NY, 10601",Westchester,,N/A,Economic,57,35,35
Aptos Inc.,2018-10-24,2018-07-25,2018-07-25,"15 Governor Drive  Newburgh, NY, 12550",Orange,,N/A,Economic,121,2,2
Aptos Inc.,2018-10-16,2018-07-17,2018-07-17,"15 Governor Drive  Newburgh, NY, 12550",Orange,,N/A,Economic,128,2,2
Aptos Inc.,2018-10-08,2018-06-25,2018-06-25,"15 Governor Drive  Newburgh, NY, 12550",Orange,,N/A,Economic,141,42,42
Aptos Inc.,2018-08-06,2018-05-07,2018-05-07,"15 Governor Drive  Newburgh, NY, 12550",Orange,,N/A,Economic,176,3,3
Aptos Inc.,2018-07-31,2018-05-01,2018-05-01,"15 Governor Drive  Newburgh, NY, 12550",Orange,,N/A,Economic,180,6,6
Aptos Inc.,2018-06-27,2018-03-28,2018-03-28,"15 Governor Drive  Newburgh, NY, 12550",Orange,,N/A,Economic,221,11,11
"ArroHealth, LLC",2018-04-09,2018-01-09,2018-01-09,"49 Wireless Boulevard, Suite 140  Hauppauge, NY, 11778",Suffolk,,N/A,Economic,276,42,42
"Aspire of WNY, Inc. (Buffalo)",2018-06-29,2018-04-04,2018-04-04,"2495 Main Street  Buffalo, NY, 14214",Erie,,N/A,Economic,205,42,42
"Aspire of WNY, Inc. (Lakewood)",2018-06-29,2018-04-04,2018-04-04,"140 Mall Boulevard  Lakewood, NY, 14750",Chautauqua,,N/A,Economic,204,19,19
"Association for Neurologically Impaired Brain Injured Children, Inc. (ANIBIC)",2018-06-30,2018-04-23,2018-04-23,"61-35 220th Street  Oakland Gardens, NY, 11364",Queens,,N/A,Transition of services to Care Coordination,1,25,25
"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",2019-03-19,2018-12-19,2018-12-19,"3 East Industrial Parkway  Troy, NY, 12180",Rensselaer,,N/A,Chapter 11 and sale of business,4,10,10
