Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Black Entertainment Television, LLC (Viacom Inc.)",2015-06-09,2015-03-11,2015-03-11,"555 West 57th Street  New York, NY, 10019",New York,,N/A,Restructuring,4,1,1
Bobby's Bus Co. Inc.,2015-06-26,2015-03-27,2015-03-27,"28 Powell Street  Brooklyn, NY, 11212",Kings,,N/A,Economic,206,39,39
Bobby's Bus Co. Inc.,2015-06-26,2015-03-27,2015-03-27,"145-40 155th Street  Jamaica, NY, 11434",Queens,,N/A,Economic,209,2,2
Bobby's Bus Co. Inc.,2015-06-26,2015-03-27,2015-03-27,"230-19 Rockaway Blvd.  Jamaica, NY, 11413",Queens,,N/A,Economic,210,48,48
Bobby's Bus Co. Inc.,2015-06-26,2015-03-27,2015-03-27,"432 Zerega Avenue  Bronx, NY, 10473",Queens,,N/A,Economic,211,43,43
Bobby's Bus Co. Inc.,2015-06-26,2015-03-27,2015-03-27,"Pelham Parkway, Bronx Block 4411 Partial Lot 1  Bronx, NY, 10461",Queens,,N/A,Economic,212,8,8
Bosch Healthcare Systems Inc,2015-09-30,2015-07-01,2015-07-01,"2118 Beech Grove  Utica, NY, 13501",Oneida,,N/A,Economic,109,23,23
"Brasserie Restaurant, LLC owned by Patina Restaurant Group",2016-01-03,2015-10-01,2015-10-01,"100 East 53rd Street  New York, NY, 10022",New York,,N/A,Economic,41,68,68
"Briarcliffe College, Inc.",2016-03-06,2015-12-04,2015-12-04,"225  West Main Street  Patchogue, NY, 11772",Suffolk,,N/A,Economic,14,123,123
"Briarcliffe College, Inc.",2016-03-06,2015-12-04,2015-12-04,"1055 Stewart Avenue  Bethpage, NY, 11714",Nassau,,N/A,Economic,13,171,171
Brighter Choice Charter Middle School for Boys,2015-07-22,2015-04-24,2015-04-24,"395 Elk Street  Albany, NY, 12206",Albany,,N/A,Economic,161,37,37
Brighter Choice Charter Middle School for Girls,2015-07-22,2015-04-24,2015-04-24,"395 Elk Street  Albany, NY, 12206",Albany,,N/A,Economic,162,35,35
British Airways,2015-11-24,2015-08-24,2015-08-24,"John F. Kennedy International Airport, Terminal 7, Building 59  Jamaica, NY, 11430",Queens,,N/A,Contract Expiration,1,117,117
Brooklyn Detention Center- Corizon Health,2015-12-31,2015-09-28,2015-09-28,"175 Atlantic Avenue  Brooklyn, NY, 11201",Kings,,N/A,Economic,51,27,27
"Brooklyn Kidney Center/New York Dialysis Services, Inc.",2015-07-11,2015-06-09,2015-06-09,"184 Sterling Street  Brooklyn, NY, 11215",Kings,,N/A,Sale of facility,1,65,65
C. Wonder LLC,2015-01-05,2015-01-05,2015-01-05,"1115 Broadway  New York, NY, 10010",New York,,N/A,Economic,309,79,79
Cache,2015-03-05,2015-02-25,2015-02-25,"256 West 38th Street 2nd Floor  New York, NY, 10018",New York,,N/A,Possible Closing Bankruptcy,1,100,100
Capsys Corporation,2016-03-11,2015-12-11,2015-12-11,"Brooklyn Navy Yard, Building 2 - 63 Flushing Avenue, Unit 240  Brooklyn, NY, 11205",Kings,,N/A,Economic,8,54,54
Carrier Corporation,2015-07-01,2015-03-20,2015-03-20,"6304 Thompson Road Bldg TR-2  Syracuse, NY, 13221",Onondaga,,N/A,Relocation,2,58,58
Catholic Charities Neighborhood Services - Early Childhood Education,2015-07-17,2015-04-22,2015-04-22,"John F. Kennedy ELCC, 103-15 Farragut Road  Brooklyn, NY, 11236",Kings,,N/A,Terminating Sponsorship of Early Education Program,1,23,23
Catholic Charities Neighborhood Services - Early Childhood Education,2015-07-17,2015-04-22,2015-04-22,"John Oravecz ELCC, 176 Java Street  Brooklyn, NY, 12222",Kings,,N/A,Terminating Sponsorship of Early Education Program,2,15,15
Catholic Charities Neighborhood Services - Early Childhood Education,2015-07-17,2015-04-22,2015-04-22,"Parkside ELCC, 525 Parkside Avenue  Brooklyn, NY, 11226",Kings,,N/A,Terminating Sponsorship of Early Education Program,3,23,23
Catholic Charities Neighborhood Services - Early Childhood Education,2015-07-17,2015-04-22,2015-04-22,"St. Malachy ELCC, 220 Hendrix Street  Brooklyn, NY, 11207",Kings,,N/A,Terminating Sponsorship of Early Education Program,4,28,28
Catholic Charities Neighborhood Services - Residences and Day Habilitation,2015-08-01,2015-05-01,2015-05-01,"191 Joralemon Street, 14th Floor  Brooklyn, NY, 11201",Kings,,N/A,Terminating Sponsorship,1,719,719
"Catholic Charities Neighborhood Services, Inc. (Monica House)",2015-12-31,2015-08-18,2015-08-18,"161-01 89th Avenue  Jamaica, NY, 11432",Queens,,N/A,Building deterioration ongoing costs for repairs,1,26,26
Catholic Health Services Home Support Services.,2015-12-15,2015-02-06,2015-02-06,"15 Power Drive  Hauppauge, NY, 11788",Suffolk,,N/A,Acquisition of company,1,38,38
CBC America Corp.,2015-08-31,2015-05-28,2015-05-28,"55 Mall Drive  Commack, NY, 11725",Suffolk,,N/A,Economic,146,46,46
CDU- Corizon Health,2015-12-31,2015-09-28,2015-09-28,"16-16 Hazen Street  East Elmhurst, NY, 11370",Queens,,N/A,Economic,53,145,145
Center for Educational Innovation (CEI),2015-07-01,2015-03-30,2015-03-30,"28 West 44th Street, Suite 300  New York, NY, 10036",New York,,N/A,Loss of a NYC DOE contract,1,32,32
"Chancellor, Masters and Scholars of the University of Cambridge (aka Cambridge University Press)",2015-04-30,2015-01-21,2015-01-21,"100 Brook Hill Drive  West Nyack, NY, 10994",Rockland,,N/A,Economic,291,42,42
"Chancellor, Masters and Scholars of the University of Cambridge aka Cambridge University Press",2015-07-31,2015-04-24,2015-04-24,"32 Avenue of the Americas  New York, NY, 10013",New York,,N/A,Economic,163,67,67
Clarion Hotel,2015-05-01,2015-02-26,2015-02-26,"9400 Ditmars Blvd  East Elmhurst, NY, 11369",Queens,,N/A,Economic,265,44,44
CMG YOTEL NYC LLC - CGM YOTEL (East & West),2016-01-03,2015-10-05,2015-10-05,"570 10th Avenue  New York, NY, 10036",New York,,N/A,Termination of restaurant agreement,1,71,71
"Coast Professional, Inc. - Henrietta",2015-03-05,2015-03-05,2015-03-05,"50 Methodist Hill Drive, Suite 700  Henrietta, NY, 14623",Monroe,,N/A,Termination of Contract with Department of Education,2,92,92
"Coast Professional, Inc.- Geneseo",2015-03-05,2015-03-05,2015-03-05,"4273 Volunteer Road  Geneseo, NY, 14454",Livingston,,N/A,Termination of Contract with Department of Education,1,172,172
Command Security Corporation (with United Airlines @ LaGuardia Airport),2015-12-01,2015-09-18,2015-09-18,"United Airlines - LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Loss of contract with United Airlines at LaGuardia,1,108,108
Command Security Corporation with United Airlines @ LaGuardia Airport),2015-10-28,2015-09-18,2015-09-18,"JFK Airport  Jamaica, NY, 11430",Queens,,N/A,Loss of contract with United Airlines at JFK,1,54,54
Commission on Economic Opportunity Stepping Stones II,2015-08-28,2015-05-28,2015-05-28,"300 Valley View Boulevard  Rensselaer, NY, 12144",Rensselaer,,N/A,Economic,145,34,34
Community National Bank,2015-05-15,2015-02-19,2015-02-19,"12 East 52nd Street New York  New York, NY, 10022",New York,,N/A,Sale of business to Bridgehampton National Bank,3,5,5
Community National Bank,2015-05-18,2015-02-19,2015-02-19,"4301 Bell Boulevard  Bayside, NY, 11361",Queens,,N/A,Sale of business to Bridgehampton National Bank,4,5,5
Community National Bank,2015-05-18,2015-02-19,2015-02-19,"Four locations  Great Neck/Woodbury/New Hyde Park/Oceanside, NY, 11021",Nassau,,N/A,Sale of business to Bridgehampton National Bank,1,44,44
Community National Bank,2015-05-18,2015-02-19,2015-02-19,"Three locations  Garden City/Rockville Center/Hewlett, NY, 11530",Nassau,,N/A,Sale of business to Bridgehampton National Bank,2,14,14
Community National Bank,2015-05-18,2015-02-19,2015-02-19,"Two locations  Huntington/Melville, NY, 11743",Suffolk,,N/A,Sale of business to Bridgehampton National Bank,5,50,50
ConAgra Foods Inc.,2015-05-02,2015-01-29,2015-01-29,"196 Newton Street  Fredonia, NY, ",Chautauqua,,N/A,Economic,276,11,11
Condé Nast  (Details Magazine),2015-11-20,2015-11-20,2015-11-20,"One World Trade Center  New York, NY, 10007",New York,,N/A,Economic,23,61,61
Corizon Health Regional Office,2015-12-31,2015-09-28,2015-09-28,"4904- 19th Avenue  Astoria, NY, 11105",Queens,,N/A,Economic,54,27,27
Coyne International Enterprises Corp.,2015-10-31,2015-08-11,2015-08-11,"6 Charles Blvd  Guilderland, NY, 12084",Albany,,N/A,Chapter 11 Possible Sale of Facility,1,,
Coyne International Enterprises Corp.,2015-10-31,2015-08-11,2015-08-11,"111 James E. Casey Drive  Buffalo, NY, 14206",Erie,,N/A,Chapter 11 Possible Sale of Facility,2,,
Coyne International Enterprises Corp.,2015-10-31,2015-08-11,2015-08-11,"140 Cortland Avenue  Syracuse, NY, 13202",Onondaga,,N/A,Chapter 11 Possible Sale of Facility,3,150,150
Coyne International Enterprises Corp.,2015-10-31,2015-08-11,2015-08-11,"2331 State Route 17C  Barton, NY, 13774",Tioga,,N/A,Chapter 11 Possible Sale of Facility,4,,
"CreatetheGroup, Inc.",2015-05-15,2015-02-12,2015-02-12,"116 West Houston Street  New York, NY, 10012",New York,,N/A,Economic,273,38,38
Credit Suisse Securities (USA) LLC,2015-12-01,2015-12-18,2015-12-18,"One Madison Avenue and Eleven Madison Avenue  New York, NY, 10010",New York,,N/A,Economic,2,307,307
Daikin Applied,2015-12-18,2015-12-23,2015-12-23,"4900 Technology Park Boulevard  Auburn, NY, 13021",Cayuga,,N/A,Petition,1,46,46
Daikin Applied,2015-12-31,2015-09-18,2015-09-18,"4900 Technology Park Boulevard  Auburn, NY, 13021",Cayuga,,N/A,Petition,2,20,20
Daikin Applied,2015-10-09,2015-07-10,2015-07-10,"4900 Technology Park Boulevard  Auburn, NY, 13021",Cayuga,,N/A,Economic,91,179,179
Daikin Applied,2015-09-01,2015-06-02,2015-06-02,"4900 Technology Park Boulevard  Auburn, NY, 13021",Cayuga,,N/A,Economic,137,45,45
Daikin Applied,2015-07-15,2015-04-16,2015-04-16,"4900 Technology Park Boulevard  Auburn, NY, 13021",Cayuga,,N/A,Economic,173,1,1
Daikin Applied,2015-07-01,2015-03-09,2015-03-09,"4900 Technology Park Boulevard  Auburn, NY, 13021",Cayuga,,N/A,Economic,257,2,2
"DAL Global Services, LLC",2015-06-01,2015-05-07,2015-05-07,"John F. Kennedy International Airport  Jamaica, NY, ",Queens,,N/A,Loss of contract with International Air Terminal L,1,46,46
"DAL Global Services, LLC - Delta Air Lines - Cabin Services",2015-06-01,2015-03-04,2015-03-04,"John F Kennedy International Airport  Jamaica, NY, ",Queens,,N/A,Loss of Contract to Air Serv,1,576,576
"DAL Global Services, LLC @ Etihad Airways - Kennedy International Airport",2015-05-31,2015-03-26,2015-03-26,"Etihad Airways at John F. Kennedy International Airport  Jamaica, NY, ",Queens,,N/A,Possible loss of contract with Etihad,1,122,122
"Dayton Rogers of NY, LLC",2015-06-12,2015-03-12,2015-03-12,"150 Fedex Way  Rochester, NY, 14624",Monroe,,N/A,Economic,256,35,35
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"5 Church Street  Albany, NY, 12202",Albany,,N/A,Sale of Business,1,30,30
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"5 Holmes Place  Binghamton, NY, 13902",Broome,,N/A,Sale of Business,2,102,102
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"14 Station Road  Willsboro, NY, 12966",Essex,,N/A,Sale of Business,4,11,11
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"16 Factory Street  Fort Edward, NY, 12828",Washington,,N/A,Sale of Business,9,9,9
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"35 Fonda Avenue  Oneonta, NY, 13820",Otsego,,N/A,Sale of Business,5,11,11
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"130 Arizona Avenue  Plattsburg, NY, 12903",Clinton,,N/A,Sale of Business,3,8,8
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"200 Clifton Corporate Parkway  Clifton Park, NY, 12065",Saratoga,,N/A,Sale of Business,6,165,165
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"251 Schoharie Junction Road (Central Bridge)  Howes Cave, NY, 12092",Schoharie,,N/A,Sale of Business,8,6,6
"Delaware and Hudson Railway Company, Inc.",2015-08-15,2015-05-07,2015-05-07,"555 Glenham Road  Saratoga Springs, NY, 12831",Saratoga,,N/A,Sale of Business,7,66,66
Depalino Restaurant Corp. DBA City Crab and Seafood Company,2015-08-30,2015-07-27,2015-07-27,"235 Park Ave S  New York, NY, 10003",New York,,N/A,Economic,83,73,73
"Derle Farms, Inc.",2015-08-24,2015-05-26,2015-05-26,"156-02 Liberty Avenue  Jamaica, NY, 11433",Queens,,N/A,Relocation of operations to new location 15 Grumm,1,72,72
Drew's Food Corporation,2016-01-13,2015-10-16,2015-10-16,"4511-8th Avenue  Brooklyn, NY, 11220",Kings,,N/A,Economic,31,51,51
Duralee Fabrics Ltd.,2015-07-01,2015-04-01,2015-04-01,"1775 5th Avenue  Bay Shore, NY, 11706",Suffolk,,N/A,Relocation to Morganton NC,1,64,64
Durham School Services,2015-10-15,2015-07-16,2015-07-16,"10-14 Tucker Drive  Poughkeepsie, NY, 12603",Dutchess,,N/A,Loss of Contract,5,76,76
Durham School Services,2015-07-23,2015-04-23,2015-04-23,"178 Newbury Street  Rochester, NY, 14613",Monroe,,N/A,Contract with City of Rochester School not renewed,1,142,142
Durso Lefferts Boulevard Food Corp.,2015-09-17,2015-06-19,2015-06-19,"87-25 Lefferts Boulevard  Richmond Hill, NY, 11418",Queens,,N/A,Economic,130,83,83
Earthlink,2015-09-30,2015-06-12,2015-06-12,"275 Northpointe Parkway  Amherst, NY, 14228",Erie,,N/A,Economic,133,65,65
"Earthlink, LLC",2015-05-02,2015-01-23,2015-01-23,"330 Monroe Avenue  Rochester, NY, 14607",Monroe,,N/A,Petition,15,52,52
"Earthlink, LLC",2015-05-02,2015-01-23,2015-01-23,"1100 Pittsford Victor Road  Pittsford, NY, 14607",Monroe,,N/A,Economic,288,8,8
Eastman Kodak Company (Eastman Business Park),2015-10-27,2015-07-30,2015-07-30,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,80,1,1
Eastman Kodak Company (Eastman Business Park),2015-07-07,2015-04-09,2015-04-09,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,178,1,1
Eastman Kodak Company (Eastman Business Park),2015-06-27,2015-03-30,2015-03-30,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,184,2,2
Eastman Kodak Company (Eastman Business Park),2015-07-12,2015-03-30,2015-03-30,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,185,1,1
Eastman Kodak Company (Eastman Business Park),2015-06-21,2015-03-24,2015-03-24,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,248,2,2
Eastman Kodak Company (Eastman Park),2015-05-12,2015-02-12,2015-02-12,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,268,3,3
Eastman Kodak Company (Eastman Park),2015-04-21,2015-01-22,2015-01-22,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,289,1,1
Eastman Kodak Company (Eastman Park),2015-04-07,2015-01-08,2015-01-08,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,298,7,7
Eastman Kodak Company (Eastman Park),2015-04-05,2015-01-06,2015-01-06,"1669 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,305,1,1
Eastman Kodak Company (Kodak Office),2016-03-15,2015-12-17,2015-12-17,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,4,1,1
Eastman Kodak Company (Kodak Office),2016-01-11,2015-10-14,2015-10-14,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,32,1,1
Eastman Kodak Company (Kodak Office),2016-02-02,2015-10-14,2015-10-14,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,33,6,6
Eastman Kodak Company (Kodak Office),2016-01-09,2015-10-12,2015-10-12,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,34,1,1
Eastman Kodak Company (Kodak Office),2015-12-31,2015-10-01,2015-10-01,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,40,1,1
Eastman Kodak Company (Kodak Office),2015-12-30,2015-09-23,2015-09-23,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,63,1,1
Eastman Kodak Company (Kodak Office),2015-10-06,2015-07-09,2015-07-09,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,93,1,1
Eastman Kodak Company (Kodak Office),2015-09-01,2015-06-04,2015-06-04,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,135,1,1
Eastman Kodak Company (Kodak Office),2015-08-09,2015-05-12,2015-05-12,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,152,1,1
Eastman Kodak Company (Kodak Office),2015-07-28,2015-04-30,2015-04-30,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,157,4,4
Eastman Kodak Company (Kodak Office),2015-07-07,2015-04-09,2015-04-09,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,179,21,21
Eastman Kodak Company (Kodak Office),2015-06-02,2015-03-05,2015-03-05,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,259,3,3
Eastman Kodak Company (Kodak Office),2015-05-26,2015-02-26,2015-02-26,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,264,3,3
Eastman Kodak Company (Kodak Office),2015-05-12,2015-02-12,2015-02-12,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,269,2,2
Eastman Kodak Company (Kodak Office),2015-05-05,2015-02-05,2015-02-05,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,274,1,1
Eastman Kodak Company (Kodak Office),2015-04-28,2015-01-29,2015-01-29,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,277,3,3
Eastman Kodak Company (Kodak Office),2015-04-14,2015-01-15,2015-01-15,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,293,1,1
Eastman Kodak Company (Kodak Office),2015-04-07,2015-01-08,2015-01-08,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,299,6,6
Eastman Kodak Company (Kodak Office) - (Off-site employee),2016-03-09,2015-12-11,2015-12-11,"343 State Street  Rochester, NY, 14650",Monroe,,N/A,Economic,9,1,1
Eastman Kodak Company (Kodak Research Labs),2016-03-12,2015-12-14,2015-12-14,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,6,1,1
Eastman Kodak Company (Kodak Research Labs),2016-02-13,2015-11-16,2015-11-16,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,26,1,1
Eastman Kodak Company (Kodak Research Labs),2016-01-26,2015-10-29,2015-10-29,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,30,2,2
Eastman Kodak Company (Kodak Research Labs),2015-10-05,2015-07-08,2015-07-08,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,95,5,5
Eastman Kodak Company (Kodak Research Labs),2015-09-14,2015-06-23,2015-06-23,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,116,1,1
Eastman Kodak Company (Kodak Research Labs),2015-09-22,2015-06-16,2015-06-16,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,132,1,1
Eastman Kodak Company (Kodak Research Labs),2015-08-17,2015-05-20,2015-05-20,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,150,1,1
Eastman Kodak Company (Kodak Research Labs),2015-07-07,2015-04-09,2015-04-09,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,180,1,1
Eastman Kodak Company (Kodak Research Labs),2015-06-21,2015-03-24,2015-03-24,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,249,1,1
Eastman Kodak Company (Kodak Research Labs),2015-06-16,2015-03-19,2015-03-19,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,253,1,1
Eastman Kodak Company (Kodak Research Labs),2015-04-12,2015-01-15,2015-01-15,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,294,1,1
Eastman Kodak Company (Kodak Research Labs),2015-04-07,2015-01-08,2015-01-08,"1999 Lake Avenue  Rochester, NY, 14650",Monroe,,N/A,Economic,300,2,2
Eastman Kodak Company (Rochester Tech Park),2016-03-15,2015-12-17,2015-12-17,"789 Elmgrove Road Building 9  Rochester, NY, ",Monroe,,N/A,Economic,5,1,1
Eastman Kodak Company (Rochester Tech Park),2016-03-12,2015-12-14,2015-12-14,"789 Elmgrove Road Building 9  Rochester, NY, ",Monroe,,N/A,Economic,7,1,1
Eastman Kodak Company (Rochester Tech Park),2015-05-12,2015-02-12,2015-02-12,"789 Elmgrove Road Building 9  Rochester, NY, ",Monroe,,N/A,Economic,270,2,2
EmblemHealth Services Company LLC,2016-02-09,2015-11-09,2015-11-09,"441 Ninth Avenue  New York, NY, 10001",New York,,N/A,Economic,27,101,101
Envoy Air Inc.,2015-09-25,2015-06-22,2015-06-22,"John F. Kennedy International Airport , JFK Access Rd., Terminal 8  Jamaica, NY, 11430",Queens,,N/A,Economic,127,10,10
Envoy Air Inc.,2015-11-30,2015-08-26,2015-08-26,"John F. Kennedy International Airport , JFK Access Rd., Terminal 8, Bldg 56, Gate 31  Jamaica, NY, 11430",Queens,,N/A,Economic,70,1,1
Envoy Air Inc.,2015-07-25,2015-06-22,2015-06-22,"LaGuardia International Airport, Envoy Aircraft Maintenance, Hanger 4  Flushing, NY, 11371",Queens,,N/A,Economic,128,36,36
