Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
 SMG @ the Nassau Veterans Memorial Coliseum (Nassau Coliseum),2015-07-17,2015-04-13,2015-04-13,"1255 Hempstead Turnpike  Uniondale, NY, 11553",Nassau,,N/A,Refurbishing facility,1,"2,540","2,540"
"3rd Avenue Transit, Inc.",2015-06-30,2015-03-17,2015-03-17,"1 Coffey Street  Brooklyn, NY, 11231",Kings,,N/A,Loss of Contract with NYS DOE,1,60,60
173 Food Corp.,2015-04-24,2015-01-20,2015-01-20,"180 Third Avenue  New York, NY, 10003",New York,,N/A,Economic,292,30,30
Academy of Our Lady of Good Counsel High School,2015-08-31,2015-04-13,2015-04-13,"52 North Broadway  White Plains, NY, 10603",Westchester,,N/A,Economic,177,48,48
"Advance Publications, Inc./ Staten Island Advance",2015-10-23,2015-07-22,2015-07-22,"950 Fingerboard Road  Staten Island, NY, 10305",Richmond,,N/A,Company Restructuring Outsourcing departments,1,45,45
"AdvantageCare Physicians, P.C.",2016-03-15,2015-12-17,2015-12-17,"1 MetroTech Center North  Brooklyn, NY, 11201",Kings,,N/A,Economic,3,133,133
Airserv - Delta Air Lines - Cabin Services,2015-06-01,2015-03-03,2015-03-03,"LaGuardia Airport Terminal D  New York, NY, 11371",New York,,N/A,Loss of Contract to Gate Aviation,1,178,178
All American School Bus Corp,2015-06-26,2015-03-26,2015-03-26,"4-11 26th Avenue  Long Island City, NY, 11102",Queens,,N/A,Economic,246,,
All American School Bus Corp,2015-06-26,2015-03-26,2015-03-26,"11- 08 30th Avenue  Long Island City, NY, 11102",Queens,,N/A,Economic,247,,
All American School Bus Corp.,2015-06-26,2015-03-26,2015-03-26,"6160 Strickland Avenue  Brooklyn, NY, 11234",Kings,,N/A,Economic,245,,
"ALM Media, LLC",2015-07-31,2015-04-30,2015-04-30,"120 Broadway  New York, NY, 10271",New York,,N/A,Economic,159,61,61
American Bible Society,2015-06-30,2015-03-31,2015-03-31,"1865 Broadway  New York, NY, 10023",New York,,N/A,Relocation to Philadelphia PA,1,35,35
American Express - Enterprise Growth Business Unit,2016-02-19,2015-11-20,2015-11-20,"250 Hudson Street  New York, NY, 33701",New York,,N/A,Reorganizing,1,45,45
"Amertex Textile Services, Inc.",2016-12-05,2015-05-08,2015-05-08,"231 Rider Avenue  Bronx, NY, 10451",Bronx,,N/A,Economic,153,58,58
"Amplify Education, Inc.",2015-09-29,2015-09-29,2015-09-29,"55 Washington Street, Suite 900  Brooklyn, NY, 11201",Kings,,N/A,Economic,49,184,184
Anna M. Kross Center- Corizon Health,2015-12-31,2015-09-28,2015-09-28,"18-18 Hazen Street  East Elmhurst, NY, 11370",Queens,,N/A,Economic,52,246,246
"Apex Tool Group, LLC",2015-08-17,2015-05-18,2015-05-18,"45 Cleveland Street  Cortland, NY, 13045",Cortland,,N/A,Petition,9,89,89
"Aron Streit, Inc.",2015-04-06,2015-01-06,2015-01-06,"148-152 Rivington Street  New York, NY, 10002",New York,,N/A,Economic,306,25,25
"Arrow Electronics, Inc.",2015-06-26,2015-04-30,2015-04-30,"70 Maxess Road  Melville, NY, 11747",Suffolk,,N/A,Relocation of operations to Colorado,1,93,93
"Arrow Electronics, Inc.",2015-06-26,2015-04-30,2015-04-30,"100 Baylis Road  Melville, NY, 11747",Suffolk,,N/A,Relocation of operations to Colorado,2,42,42
AT & T,2015-12-21,2015-09-14,2015-09-14,"400 Hamilton Avenue  White Plains, NY, 10601",Westchester,,N/A,Economic,68,68,68
Bank of America - Consumer  & LAS Operations,2015-09-01,2015-06-03,2015-06-03,"300 Broadhollow Road  Melville, NY, 11747",Suffolk,,N/A,Economic,136,29,29
Bank of America - Consumer and Legacy Asset Servicing Operations Unit,2015-05-13,2015-02-12,2015-02-12,"2 Jericho Plaza  Jericho, NY, 11753",Nassau,,N/A,Economic,271,53,53
Bank of America - Global Technology & Operations Unit,2015-05-13,2015-02-12,2015-02-12,"222 Broadway  New York, NY, 10038",New York,,N/A,Economic,272,35,35
Bank of America - Shared Service Operations Unit,2016-05-31,2015-12-11,2015-12-11,"5701 Horatio Street  Utica, NY, 13502",Oneida,,N/A,Consolidation of Services,1,205,205
Barclays - BBPLC NY Branch,2016-02-29,2015-10-02,2015-10-02,"1301 Avenue of the Americas  New York, NY, ",New York,,N/A,Economic,38,38,38
Barclays Capital Inc. - Wealth and Investment Management Division,2015-12-28,2015-10-08,2015-10-08,"745 Seventh Avenue  New York, NY, 10019",New York,,N/A,Economic,36,268,268
Barclays Capital Inc. - Wealth and Investment Management Division,2015-12-28,2015-10-08,2015-10-08,"1301 Avenue of the Americas  New York, NY, 10019",New York,,N/A,Economic,37,85,85
Battery Park City Parks Conservancy,2015-10-31,2015-07-31,2015-07-31,"75 Battery Place  New York, NY, 10280",New York,,N/A,Economic,79,125,125
Binder & Binder,2016-01-31,2015-10-29,2015-10-29,"34 Industrial Street  Bronx, NY, 10461",Bronx,,N/A,Economic,29,109,109
"Black Entertainment Television, LLC (Viacom Inc.)",2015-06-09,2015-03-11,2015-03-11,"524 West 57th Street  New York, NY, 10019",New York,,N/A,Restructuring,3,4,4
"Black Entertainment Television, LLC (Viacom Inc.)",,2015-04-06,2015-04-06,"555 West 57th Street  New York, NY, 10019",New York,,N/A,Restructuring,1,1,1
