Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
77kids/American Eagle Outfitters,,2012-06-07,2012-06-07,"New York Design Center, 417 Fifth Avenue 8th & 9th Floors  New York, NY, 10016",New York,,N/A,Economic,78,45,45
152 W 34 Inc. Pizza Hut/Tim Horton's,,2012-07-31,2012-07-31,"152 W 34th Street  New York, NY, ",New York,,N/A,Economic,52,22,22
237 42nd Street Corp.,,2012-01-06,2012-01-06,"303 Louisiana Avenue  Brooklyn, NY, 11207",Kings,,N/A,Economic,203,2,2
"503 Sutter Avenue, LLC",2021-04-30,2012-01-06,2012-01-06,"303 Louisiana Avenue  Brooklyn, NY, 11207",Kings,,N/A,Economic,204,12,12
1286 RR Operating Inc. (Nathan's/Haagen Dazs/KFC/Tim Horton's) (Food Court),2013-01-06,2012-10-02,2012-10-02,"1286 Broadway  New York, NY, 10001",New York,,N/A,Expiration of Lease,1,66,66
A & P Store #770,,2012-01-17,2012-01-17,"450 Main Street  Armonk, NY, 10504",Westchester,,N/A,Economic,197,44,44
A & P/Pathmark Store #627,,2012-06-04,2012-06-04,"42-02 Northern Blvd  Long Island City, NY, 11101",Queens,,N/A,Economic,100,130,130
A & P/Pathmark Store #648,,2012-01-17,2012-01-17,"One Pathmark Plaza  Mount Vernon, NY, 10550",Westchester,,N/A,Economic,198,126,126
A & P/Waldbaum's Store #209,,2012-06-04,2012-06-04,"46-40 Francis Lewis Blvd  Bayside, NY, 11361",Queens,,N/A,Economic,101,77,77
A & P/Waldbaum's Store #215,,2012-01-17,2012-01-17,"40 Vanderbilt Parkway  Commack, NY, 11725",Suffolk,,N/A,Economic,191,55,55
A & P/Waldbaum's Store #449,,2012-01-17,2012-01-17,"711 East Jericho Turnpike  Huntington Station, NY, 11746",Suffolk,,N/A,Economic,192,53,53
A & P/Waldbaum's Store #630,,2012-01-17,2012-01-17,"601 Portion Road  Lake Ronkonkoma, NY, 11779",Suffolk,,N/A,Economic,193,90,90
A & P/Waldbaum's Store #647,,2012-01-17,2012-01-17,"399 Ocean Avenue  Rockville Centre, NY, 11570",Suffolk,,N/A,Economic,194,65,65
A & P/Waldbaum's Store #661,,2012-01-17,2012-01-17,"725 Sunrise Highway  West Babylon, NY, 11704",Suffolk,,N/A,Economic,195,54,54
A & P/Waldbaum's Store #673,,2012-01-17,2012-01-17,"300 Montauk Highway  East Islip, NY, 11730",Suffolk,,N/A,Economic,196,56,56
"Advanced Digital Printing, LLC",,2012-01-06,2012-01-06,"303 Louisiana Avenue  Brooklyn, NY, 11207",Kings,,N/A,Economic,205,18,18
"AFA Foods, Inc.",,2012-07-19,2012-07-19,"5151 Fairbank Road  Ashville, NY, 14710",Chautauqua,,N/A,Economic,58,100,100
"All Star Café (New York), Inc d/b/a Planet Hollywood",,2012-03-09,2012-03-09,"1540 Broadway  New York, NY, 10036",New York,,N/A,Economic,153,277,277
Alliance Bank,2013-03-08,2012-12-10,2012-12-10,"120 Madison Street  Syracuse, NY, 13202",Onondaga,,N/A,Sale of Business,3,42,42
Alliance Bank,2013-03-08,2012-12-10,2012-12-10,"160 Main Street  Oneida, NY, ",Madison,,N/A,Sale of Business,1,56,56
"American Airlines, Inc.",2012-11-16,2012-09-18,2012-09-18,"JFK Airport  Jamaica, NY, 11430",Queens,,N/A,Company Restructuring,1,843,843
"American Airlines, Inc.",2012-10-19,2012-07-23,2012-07-23,"JFK Airport, Building 57-Terminal 8  Jamaica, NY, 11430",Queens,,N/A,Company Restructuring,3,111,111
"American Airlines, Inc.",2012-08-24,2012-06-28,2012-06-28,"JFK Airport, Building 57-Terminal 8  Jamaica, NY, 11430",Queens,,N/A,Company Restructuring,7,1,1
"American Airlines, Inc.",2012-11-16,2012-09-18,2012-09-18,"LaGuardia Hangers  Flushing, NY, 11371",Queens,,N/A,Company Restructuring,2,350,350
"American Airlines, Inc.",2012-10-19,2012-07-23,2012-07-23,"LaGuardia Hangers  Flushing, NY, 11371",Queens,,N/A,Company Restructuring,4,36,36
"American Resort Management, LLC at the Holiday Inn Rochester Airport",,2012-07-31,2012-07-31,"911 Brooks Avenue  Rochester, NY, 14624",Monroe,,N/A,Sale of business,1,135,135
"Angelica Textile Services, Inc.",2013-03-07,2012-12-10,2012-12-10,"44 Newmans Court  Hempstead, NY, 11550",Suffolk,,N/A,Economic,6,225,225
ARAMARK Business Dining Services,,2012-11-26,2012-11-26,"55 Water Getaway, 55 Water Street  New York, NY, 10041",New York,,N/A,Due to hurricane,1,29,29
ARAMARK NY Regional Staffing Center,,2012-02-28,2012-02-28,"230 West 41st Street Suite 1303  New York, NY, 10036",New York,,N/A,Economic,168,122,122
Arbor E & T dba ResCare Workforce Services,,2012-09-14,2012-09-14,"25 Elm Place  Brooklyn, NY, 11201",Kings,,N/A,Loss of WeCARE contract,1,227,227
Arbor E & T dba ResCare Workforce Services,,2012-09-14,2012-09-14,"30 Bay Street, 3rd Floor  Staten Island, NY, 10301",New York,,N/A,Loss of Back to Work contract,3,26,26
Arbor E & T dba ResCare Workforce Services,,2012-09-14,2012-09-14,"151 Lawrence Street, 4th Floor  Brooklyn, NY, 11201",Kings,,N/A,Loss of Back to Work contract,1,60,60
Arbor E & T dba ResCare Workforce Services,,2012-09-14,2012-09-14,"741 Flushing Avenue, 3rd floor  Brooklyn, NY, 11206",Kings,,N/A,Loss of Back to Work contract,2,32,32
Arbor E & T dba ResCare Workforce Services,,2012-09-14,2012-09-14,"2090 Adam Clayton Powell Blvd, 11th Floor  New York, NY, 10027",New York,,N/A,Loss of Back to Work contract,4,43,43
"Archcare, Inc. @ Kateri Residence",,2012-12-03,2012-12-03,"150 Riverside Drive  New York, NY, 10024",New York,,N/A,Sale of facility,1,592,592
"ArchCare, Inc. @ Terence Cardinal Cooke Health Care Center",,2012-03-23,2012-03-23,"1249 Fifth Avenue  New York, NY, 10029",New York,,N/A,Sale of operations to another company,1,29,29
"Aurora Bank FSB, Aurora Loan Services - NY",2012-07-23,2012-04-24,2012-04-24,"1271 Sixth Avenue, 46th Floor  New York, NY, 10020",New York,,N/A,Economic,123,17,17
"Aurora Bank FSB, Aurora Loan Services - NY",2012-06-09,2012-03-01,2012-03-01,"1271 Sixth Avenue, 46th Floor  New York, NY, 10020",New York,,N/A,Economic,162,3,3
B/E Aerospace Inc.,2012-10-01,2012-07-25,2012-07-25,"100 Corporate Drive  Holtsville, NY, 11742",Suffolk,,N/A,Economic,55,55,55
"Badger Technologies, Inc",2012-08-13,2012-08-15,2012-08-15,"5829 County Road 41  Farmington, NY, 14425",Ontario,,N/A,Economic,46,95,95
Baker Victory Services,2012-08-31,2012-08-07,2012-08-07,"41  Palm Street  Lackawanna, NY, 14218",Erie,,N/A,NYS DDSO takeover,1,25,25
Baker Victory Services,2012-08-31,2012-08-07,2012-08-07,"655 Hertel Avenue  Buffalo, NY, 14207",Erie,,N/A,NYS DDSO takeover,2,21,21
Baker Victory Services,2012-08-31,2012-08-07,2012-08-07,"1138 Ransom  Road  Lancaster, NY, 14086",Erie,,N/A,NYS DDSO takeover,3,20,20
Baker Victory Services,2012-08-31,2012-08-07,2012-08-07,"1140 Ransom Road  Lancaster, NY, 14086",Erie,,N/A,NYS DDSO takeover,4,18,18
Baker Victory Services-Intermediate Care Facility,2012-08-31,2012-08-07,2012-08-07,"790 Ridge Road  Lackawanna, NY, 14218",Erie,,N/A,Consolidation of Services,1,58,58
Bank of America-GTO Specialty Operations Unit,2012-10-30,2012-08-15,2012-08-15,"101 Enterprise Drive  Kingston, NY, 12401",Ulster,,N/A,Economic,47,69,69
"Baumann & Sons Buses, Inc.",2012-06-06,2012-06-04,2012-06-04,"51  Route 100  Briarcliff, NY, 10510",Westchester,,N/A,Loss of contract to Ossining SD,1,140,140
Bed Bath & Beyond,,2012-06-12,2012-06-12,"110 Bi-County Blvd., Suite 114  Farmingdale, NY, 11735",Nassau,,N/A,Economic,72,68,68
Bed Bath & Beyond,,2012-06-12,2012-06-12,"895 East Gate Blvd  Garden City, NY, 11530",Suffolk,,N/A,Economic,73,5,5
Ben Benson's Steakhouse,2012-06-17,2012-05-22,2012-05-22,"123 W. 52nd Street  New York, NY, ",New York,,N/A,Economic,105,80,80
Best Buy,,2012-04-16,2012-04-16,"517 East 117th Street  New York, NY, 10035",New York,,N/A,Economic,131,64,64
"Beth Emeth Home Attendant Service, Inc.",2013-03-12,2012-12-19,2012-12-19,"1080 McDonald Avenue, 2nd Floor  Brooklyn, NY, 11230",Kings,,N/A,Outsourcing to Premier Home Health Care Services,1,769,769
Betsey Johnson  LLC,2012-04-27,2012-04-27,2012-04-27,"498 Seventh Street, 21st Floor  New York, NY, 10018",New York,,N/A,Economic Bankruptcy,1,43,43
"Beyer Farms, Inc.",,2012-12-14,2012-12-14,"79 Express Street  Plainview, NY, ",Nassau,,N/A,Loss of contract,2,2,2
"Beyer Farms, Inc.",,2012-12-14,2012-12-14,"148-02 95th Avenue  Jamaica, NY, ",Queens,,N/A,Loss of contract,3,29,29
"Beyer Farms, Inc.",,2012-12-14,2012-12-14,"156-02 Liberty Avenue  Jamaica, NY, 11433",Queens,,N/A,Loss of contract,4,176,176
"Beyer Farms, Inc.",,2012-12-14,2012-12-14,"999 Elton Street  Brooklyn, NY, ",Kings,,N/A,Loss of contract,1,2,2
Bombardier Mass Transit Corporation-Overhaul Division,2013-03-08,2012-12-03,2012-12-03,"7940 State Route 415  Bath, NY, 14810",Steuben,,N/A,Economic,11,0,0
"Broadridge Financial Solutions, Inc.",2012-06-25,2012-03-20,2012-03-20,"Brooklyn Army Terminal (BAT) 140 58th Street  Brooklyn, NY, 11220",Kings,,N/A,Consolidating operations with existing ops in NJ,1,137,137
Brockway-Smith Company,,2012-11-05,2012-11-05,"171 Stacy Road  Coxsackie, NY, 12051",Greene,,N/A,Economic,21,59,59
"Buckley Radio/Buckley Broadcasting/WOR, LLC",,2012-08-15,2012-08-15,"111 Broadway, 3rd Floor  New York, NY, 10006",New York,,N/A,Sale of Radio Station to Clear Channel Media Ent,1,73,73
Cabrini Center for Nursing & Rehabilitation Center,2012-06-06,2012-03-08,2012-03-08,"542 East 5th Street  New York, NY, 10009",New York,,N/A,Economic,154,273,273
Cabrini Center for Nursing & Rehabilitation Center - Adult Day Care Center,2012-06-06,2012-03-08,2012-03-08,"253  South Street  New York, NY, 10002",New York,,N/A,Economic,155,7,7
