Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
B&H Foto and Electronics Corp.(warehouse),2017-08-07,2017-05-09,2017-05-09,"105 Evergreen Ave  Brooklyn, NY, 11206",Kings,,N/A,Economic,180,57,57
Bath & Body Works,2018-05-01,2017-10-04,2017-10-04,"503 Broadway  New York, NY, ",New York,,N/A,Economic,53,56,56
"Baumann Bus Company, Inc. (Hicksville - Rockville Centre School Districts)",2017-11-20,2017-11-18,2017-11-18,"107 Lawson Boulevard  Oceanside, NY, 11572",Nassau,,N/A,Loss of contract,1,134,134
"Baumann Bus Company, Inc. (NYC DOE Office of Pupil Trans.)",2017-11-28,2017-11-24,2017-11-24,"107 Lawson Boulevard  Oceanside, NY, 11572",Nassau,,N/A,Termination of bus service contract,1,98,98
"bebe stores, Inc.",2017-05-31,2017-03-27,2017-03-27,"1 W 34th Street  New York, NY, 10001",New York,,N/A,Economic,205,16,16
Big Kmart Store #03201 (Kmart Corporation - Sears Holdings),2017-07-20,2017-04-21,2017-04-21,"2660 Hyland Blvd.  Staten Island, NY, 10306",Richmond,,N/A,Economic,190,164,164
Binder & Binder ( Hauppauge),2017-12-11,2017-09-12,2017-09-12,"300 Rabro Drive  Hauppauge, NY, 11788",Suffolk,,N/A,Economic,103,100,100
Binder & Binder (Queens),2017-12-11,2017-09-12,2017-09-12,"33-00 Northern Blvd, #7A  Long Island City, NY, 11101",Queens,,N/A,Economic,102,90,90
"Black Lexington Group, LLC (44th St)",2017-12-22,2017-12-22,2017-12-22,"146 East 44th Street  New York, NY, 10174",New York,,N/A,Economic,6,101,101
"Black Lexington Group, LLC (Broadway)",2017-12-22,2017-12-22,2017-12-22,"685 Broadway  Brooklyn, NY, 11206",Kings,,N/A,Economic,4,68,68
"Black Lexington Group, LLC (Reade)",2017-12-22,2017-12-22,2017-12-22,"56 Reade Street  New York, NY, 10007",New York,,N/A,Economic,7,62,62
"Blue Ridge Capital, L.L.C. ( White Plains)",2018-03-31,2017-12-28,2017-12-28,"120 White Plains Road #500  Tarrytown, NY, 10591",Westchester,,N/A,Economic,3,38,38
"Blue Ridge Capital, L.L.C. (Madison)",2018-03-31,2017-12-28,2017-12-28,"660 Madison Avenue  New York, NY, 10065",New York,,N/A,Economic,2,17,17
"Bostwick Laboratories, Inc.",2017-05-01,2017-03-13,2017-03-13,"100 Charles Lindbergh Boulevard  Uniondale, NY, 11553",Nassau,,N/A,Sale of business,10,128,128
Cabana Midtown LLC,2017-07-31,2017-04-25,2017-04-25,"1022 3rd Ave  New York, NY, 10065",New York,,N/A,Lost lease for the restaurant,1,43,43
Capital One Financial (Originations Operating Unit),2018-02-05,2017-11-08,2017-11-08,"275 Broadhollow Road  Melville, NY, 11747",Suffolk,,N/A,Economic,30,26,26
"CareConnect Insurance Company, Inc.",2018-01-19,2017-12-22,2017-12-22,"2200 Northern Boulevard  East Hills, NY, 11548",Nassau,,N/A,Economic,5,42,42
"CareConnect Insurance Company, Inc.",2017-12-06,2017-10-12,2017-10-12,"2200 Northern Boulevard  East Hills, NY, 11548",Nassau,,N/A,Economic,49,28,28
"Casabella Holdings, LLC",2018-03-01,2017-10-20,2017-10-20,"225 North Route 303, Unit 106  Congers, NY, 10920",Rockland,,N/A,Economic,44,43,43
"Cascades Containerboard Packaging - New York City, a division of Cascades Holding US Inc.",2017-11-27,2017-08-29,2017-08-29,"55-15 Grand Avenue  Maspeth, NY, 11378",Queens,,N/A,Economic,108,148,148
"Catholic Charities Neighborhood Services, Inc. -Fidelis Parenting/Fatherhood Program",2017-07-06,2017-04-07,2017-04-07,"440 Watkins Street  Brooklyn, NY, 11212",Kings,,N/A,Transfer of operations to CPA of NY,1,6,6
"Catholic Charities Neighborhood Services, Inc. (Super Storm Sandy Employment Program)",2017-09-13,2017-06-15,2017-06-15,"1329 Beach Channel Drive  Far Rockaway, NY, 11691",Queens,,N/A,Loss of funding,1,2,2
"Centerplate at Saks Fifth Avenue New York City, dba Fifth Dining LLC",2018-01-01,2017-09-29,2017-09-29,"611 5th Avenue  New York, NY, 10022",New York,,N/A,Economic,66,57,57
Cenveo Corporation,2017-02-17,2017-02-17,2017-02-17,"Buffalo, NY Quality Park Envelope Facility, 100 Centre Drive  Orchard Park, NY, 14127",Erie,,N/A,Economic,227,111,111
CEVA Logistics (@Momentive site),2017-09-30,2017-07-03,2017-07-03,"260 Hudson River Rd  Waterford, NY, 12188",Saratoga,,N/A,Loss of contract,3,42,42
Chandler Hotel LLC,2017-12-31,2017-09-25,2017-09-25,"12 East 31st Street  New York, NY, 10016",New York,,N/A,Economic,94,60,60
Chartwells Dining Services c/o Elmira College,2017-06-10,2017-03-29,2017-03-29,"One Park Place  Elmira, NY, 14901",Chemung,,N/A,Loss of Contract,2,105,105
Chelsea Hospitality Partners LLC d/b/a Avenue,2017-07-21,2017-05-23,2017-05-23,"116 10th Avenue  New York, NY, 10011",New York,,N/A,Closing due to renovations,1,42,42
"Citizen Watch Company of America, Inc. (Warehouse & Distribution Operating Units)",2018-03-29,2017-12-29,2017-12-29,"1 Bulova Avenue  Woodside, NY, 11377",Queens,,N/A,Economic,1,59,59
