Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"57th Street, LLC dba Kingside & The Roof",2020-01-01,2019-09-30,2019-09-30,"124 West 57th Street, Ground Floor & 29th Floor  New York, NY, 10019",New York,,N/A,Sale of the hotel and lease was terminated,1,107,107
100 Resilient Cities (a sponsored project of Rockefeller Philanthropy Advisors),2019-07-31,2019-04-18,2019-04-18,"420 Fifth Avenue  New York, NY, 10018",New York,,N/A,Economic,187,49,49
"127 W. 43rd St. Chophouse, Inc. (Heartland Brewery & Chophouse, and HB Burger)",2020-03-31,2019-12-30,2019-12-30,"127 West 43rd Street  New York, NY, 10018",New York,,N/A,Economic,1,106,106
ABM Aviation Inc.(Delta Airlines at JFK International Airport. Terminals 2 and 4),2019-05-03,2019-01-28,2019-01-28,"Delta Airlines at JFK International Airport. Terminals 2 and 4  Jamaica, NY, 11430",Queens,,N/A,Contractual Loss,1,528,528
ACCO Brands USA LLC,2019-11-29,2019-09-23,2019-09-23,"941 Acco Way  Ogdensburg, NY, 13669",St Lawrence,,N/A,Economic,94,62,62
"Advance Transit Co., Inc.",2019-07-12,2019-07-01,2019-07-01,"1340 Lafayette Avenue  Bronx, NY, 10474",Bronx,,N/A,Economic,145,143,143
AEG Presents (operator of PlayStation Theater f/k/a The Best Buy Theater,2020-01-01,2019-10-01,2019-10-01,"1515 Broadway  New York, NY, 10036",New York,,N/A,Economic,85,62,62
All Saints Regional Catholic School,2019-06-14,2019-01-31,2019-01-31,"12 Pearsall Avenue  Glen Cove, NY, 11542",Nassau,,N/A,Economic,282,38,38
"Alleson of Rochester, Inc. (2340 Brighton Henrietta)",2019-05-24,2019-02-18,2019-02-18,"2340 Brighton Henrietta Town Line Road  Rochester, NY, 14623",Monroe,,N/A,Implementing an operational restructuring,1,75,75
"Alleson of Rochester, Inc. (2921 Brighton Henrietta)",2019-05-24,2019-02-18,2019-02-18,"2921 Brighton Henrietta Town Line Road  Rochester, NY, 14623",Monroe,,N/A,Implementing an operational restructuring,2,41,41
AllianceBernstein L.P. (Phase 2),2019-05-05,2019-02-01,2019-02-01,"1 North Lexington Ave.  White Plains, NY, 10601",Westchester,,N/A,Relocation of Corporate Headquarters to Nashville Tennessee,2,18,18
AllianceBernstein L.P. (Phase 2),2019-05-05,2019-02-01,2019-02-01,"1345 Sixth Avenue  New York, NY, 10105",New York,,N/A,Economic,278,36,36
AllianceBernstein L.P. (Phase 3 ),2019-05-16,2019-02-14,2019-02-14,"1 North Lexington Ave.  White Plains, NY, 10601",Westchester,,N/A,Relocation of Corporate Headquarters to Nashville Tennessee,1,10,10
AllianceBernstein L.P. (Phase 3),2019-05-16,2019-02-14,2019-02-14,"1345 Sixth Avenue  New York, NY, 10105",New York,,N/A,Economic,270,98,98
AllianceBernstein L.P. (Phase 4),2019-07-08,2019-04-05,2019-04-05,"1 North Lexington Ave.  White Plains, NY, 10601",Westchester,,N/A,Relocation of Corporate Headquarters to Nashville TN,7,7,7
AllianceBernstein L.P. (Phase 4),2019-07-08,2019-04-05,2019-04-05,"1345 Sixth Avenue  New York, NY, 10105",New York,,N/A,Relocation of Corporate Headquarters to Nashville TN,6,30,30
AllianceBernstein L.P. (Phase 5),2019-09-09,2019-06-06,2019-06-06,"1345 Sixth Avenue  New York, NY, 10105",New York,,N/A,Relocation of Corporate Headquarters to Nashville TN,5,24,24
AllianceBernstein L.P. (Phase 6),2019-10-11,2019-07-10,2019-07-10,"1 North Lexington Avenue, 19th Floor  White Plains, NY, 10601",Westchester,,N/A,Relocation of Corporate Headquarters to Nashville TN,4,5,5
AllianceBernstein L.P. (Phase 6),2019-10-11,2019-07-10,2019-07-10,"1345 Sixth Avenue  New York, NY, 10105",New York,,N/A,Relocation of Corporate Headquarters to Nashville TN,3,6,6
AllianceBernstein L.P. (Phase 7 -  NYC),2019-12-31,2019-09-26,2019-09-26,"1345 Sixth Avenue  New York, NY, 10105",New York,,N/A,Relocation of Corporate Headquarters to Nashville TN,1,51,51
AllianceBernstein L.P. (Phase 7 - White Plains),2019-12-31,2019-09-26,2019-09-26,"1 North Lexington Avenue, 19th Floor  White Plains, NY, 10601",Westchester,,N/A,Relocation of Corporate Headquarters to Nashville TN,2,10,10
"American Precision Industries, Inc.(Thomson Linear)",2019-08-02,2019-05-01,2019-05-01,"45 Hazelwood Drive  Amherst, NY, 14228",Erie,,N/A,Economic,179,79,79
American Technical Ceramics Corp. (Phase 1),2019-09-27,2019-06-24,2019-06-24,"One Norden Lane  Huntington Station, NY, 11746",Suffolk,,N/A,Economic,150,24,24
"Amneal Pharmaceuticals, LLC",2019-10-11,2019-07-10,2019-07-10,"75 Adams Avenue  Hauppauge, NY, 11788",Suffolk,,N/A,Economic,142,28,28
"Amsterdam Printing & Litho, Inc. (Web Graphics)",2019-09-13,2019-06-13,2019-06-13,"428 Corinth Road  Queensbury, NY, 12804",Warren,,N/A,Economic,158,88,88
"AmTrust Financial Services, Inc.",2019-10-24,2019-10-23,2019-10-23,"600 Essjay Drive  Williamsville, NY, 14221",Erie,,N/A,Economic,66,39,39
Anvil NY LLC dba Benchmarc Restaurants by Marc Murphy,2019-08-21,2019-04-19,2019-04-19,"179 West Broadway  New York, NY, 10013",New York,,N/A,Economic,184,6,6
"Applebee's (TLC Central, LLC) (Woodbury Common - Central Valley)",2019-07-16,2019-04-19,2019-04-19,"448 Evergreen Court - Woodbury Common  Central Valley, NY, 10917",Orange,,N/A,Economic,186,55,55
"Aramark Educational Services, LLC (at Barnard College - Diana Center Cafeteria)",2019-06-30,2019-04-15,2019-04-15,"42 Claremonth Avenue  New York, NY, 10027",New York,,N/A,Loss of contract,4,15,15
"Aramark Educational Services, LLC (at Barnard College & Java City)",2019-06-30,2019-04-15,2019-04-15,"607 W. 116th Street  New York, NY, 10027",New York,,N/A,Loss of contract,5,61,61
"Aramark Educational Services, LLC (at Clarkson University)",2019-06-03,2019-03-04,2019-03-04,"10 Clarkson Avenue  Potsdam, NY, 13699",St Lawrence,,N/A,Economic,241,193,193
"Aramark Educational Services, LLC at New York University - 5-11 University Place",2019-06-30,2019-03-29,2019-03-29,"5-11 University Place  New York, NY, 10003",New York,,N/A,Loss of contract,8,131,131
"Aramark Educational Services, LLC at New York University - 33 Third Avenue",2019-06-30,2019-03-29,2019-03-29,"33 Third Avenue  New York, NY, 10003",New York,,N/A,Loss of contract,9,51,51
"Aramark Educational Services, LLC at New York University - 33 Washington Square",2019-06-30,2019-03-29,2019-03-29,"33 Washington Square West  New York, NY, 10011",New York,,N/A,Loss of contract,10,39,39
"Aramark Educational Services, LLC at New York University - 60 Washington Square",2019-06-30,2019-03-29,2019-03-29,"60 Washington Square South  New York, NY, 10012",New York,,N/A,Loss of contract,11,57,57
"Aramark Educational Services, LLC at New York University - 75 Third Avenue",2019-06-30,2019-03-29,2019-03-29,"75 Third Avenue  New York, NY, 10003",New York,,N/A,Loss of contract,12,51,51
"Aramark Educational Services, LLC at New York University - 110 East 14th Street",2019-06-30,2019-03-29,2019-03-29,"110 East 14th Street  New York, NY, 10003",New York,,N/A,Loss of contract,13,26,26
"Aramark Educational Services, LLC at New York University - 140 East 14thStreet",2019-06-30,2019-03-29,2019-03-29,"140 East 14thStreet  New York, NY, 10003",New York,,N/A,Loss of contract,14,36,36
"Aramark Educational Services, LLC at New York University - 239 Green Street",2019-06-30,2019-03-29,2019-03-29,"239 Green Street  New York, NY, 10003",New York,,N/A,Loss of contract,15,6,6
"Aramark Educational Services, LLC at New York University - Metro Tech",2019-06-30,2019-03-29,2019-03-29,"6 Metro Tech  New York, NY, 11201",New York,,N/A,Loss of contract,16,36,36
"Aramark Educational Services, LLC at New York University -  Waverly Place",2019-06-30,2019-03-29,2019-03-29,"18 Waverly Place  New York, NY, 10003",New York,,N/A,Loss of contract,17,13,13
"Aramark Educational Services, LLC at New York University - West 4th Street",2019-06-30,2019-03-29,2019-03-29,"45 West 4th Street  New York, NY, 10012",New York,,N/A,Loss of contract,18,15,15
Arcadia Group (USA) Limited at Topshop and Topman Stores - SoHo,2019-06-19,2019-05-21,2019-05-21,"478 Broadway  New York, NY, 10013",New York,,N/A,Economic,169,172,172
Arcadia Group (USA) Limited at Topshop and Topman Stores -Corporate,2019-06-19,2019-05-21,2019-05-21,"478 Broadway  New York, NY, 10013",New York,,N/A,Economic,170,8,8
