Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
1-800 Flowers.com,,2011-07-21,2011-07-21,"700 Hicksville Road  Bethpage, NY, 11758",Nassau,,N/A,Economic,109,47,47
"A & J Process Service, LLC",,2011-11-30,2011-11-30,"900 Merchants Concourse  Westbury, NY, ",Suffolk,,N/A,Economic,23,46,46
A & P Store #125,,2011-02-23,2011-02-23,"1905 Rte. 6  Carmel, NY, 10512",Putnam,,N/A,Economic,257,52,52
A & P Store #193,,2011-02-23,2011-02-23,"369 Tarrytown Road  White Plains, NY, 10607",Westchester,,N/A,Economic,260,65,65
A & P Store #198,,2011-02-23,2011-02-23,"366 Pelham Avenue  New Rochelle, NY, 10805",Westchester,,N/A,Economic,261,55,55
A & P Store #778,,2011-02-23,2011-02-23,"575 Boston Post Road  Portchester, NY, 10573",Westchester,,N/A,Economic,262,72,72
"A.L. Bazzini Co., Inc.",,2011-04-19,2011-04-19,"200 Food Center Drive  Bronx, NY, 10474",Bronx,,N/A,Relocation to Allentown PA,1,57,57
Abbott House - Group Home,2011-07-01,2011-04-28,2011-04-28,"100 North Broadway  Irvington, NY, 10533",Westchester,,N/A,Funding cuts,3,13,13
Abbott House - Group Home,2011-07-01,2011-04-28,2011-04-28,"1860 East Tremont Avenue  Bronx, NY, 10460",Bronx,,N/A,Funding cuts,1,16,16
Abbott House - Group Home,2011-07-01,2011-04-28,2011-04-28,"3010 Jerome Avenue  Bronx, NY, 10468",Bronx,,N/A,Funding cuts,2,9,9
Able Industries Inc.,2011-09-15,2011-07-18,2011-07-18,"200 Court Street  Binghamton, NY, 13901",Broome,,N/A,Federal funding cuts,1,32,32
Algonquin Hotel,,2011-11-07,2011-11-07,"59 West 44th Street  New York, NY, 10036",New York,,N/A,Renovations,2,160,160
"All Voice Communications, Inc. -  Stericycle",2012-03-31,2011-10-13,2011-10-13,"363 7th Avenue, 9th Floor  New York, NY, 10001",New York,,N/A,Economic,55,34,34
Allen Canning Company,2011-03-29,2011-03-29,2011-03-29,"40 Stevens Street  Oakfield, NY, 14125",Genesee,,N/A,Consolidating Production operations,1,28,28
"American Axle & Manufacturing, Inc.",,2011-11-22,2011-11-22,"2799 Walden Avenue  Cheektowaga, NY, 14225",Erie,,N/A,Economic Petition,1,83,83
American Red Cross Blood Services TR Center,2011-06-13,2011-03-17,2011-03-17,"786 Delaware Avenue  Buffalo, NY, 14209",Erie,,N/A,Economic,247,51,51
ARAMARK Aviation Services Limited Partnership,,2011-02-22,2011-02-22,"Delta Airlines Building #53, JFK International Airport  Jamaica, NY, 11430",Queens,,N/A,Economic,265,245,245
ARAMARK Aviation Services Limited Partnership,,2011-02-18,2011-02-18,"Delta Airlines  LaGuardia Airport 9400 Ditmars Blvd.  Queens, NY, 11369",Queens,,N/A,Loss of Contract,30,93,93
ARAMARK Aviation Services Limited Partnership,,2011-02-28,2011-02-28,"Delta Flight Center at LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Loss of Contract,28,53,53
ARAMARK Aviation Services Limited Partnership,,2011-02-28,2011-02-28,"Delta Shuttle Marine Air Terminal at LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Loss of Contract,29,54,54
ARAMARK Aviation Services Limited Partnership,,2011-03-18,2011-03-18,"Terminal C - US Airways - LaGuardia Airport  Flushing, NY, 11371",Queens,,N/A,Loss of Contract,27,2,2
Aramark Business Dining Services - JPMC,2011-11-22,2011-09-01,2011-09-01,"277 Park Avenue  New York, NY, 10172",New York,,N/A,Economic,87,34,34
Aramark Business Dining Services @ ABC,,2011-09-09,2011-09-09,"47 West 66th Street  New York, NY, 10023",New York,,N/A,Expired Contract,1,31,31
"ARAMARK Campus, LLC @ Utica College Campus",,2011-01-05,2011-01-05,"1600 Burrstone Road  Utica, NY, 13502",Oneida,,N/A,Loss of Contracted Services,1,89,89
"ARAMARK Educational Services, LLC & ARAMARK Campus, LLC",,2011-11-29,2011-11-29,"Bard College 30 Campus Road  Annandale-on-Hudson, NY, 12504",Dutchess,,N/A,Contract Loss,2,51,51
