Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
1 Hotel Brooklyn Bridge,2020-03-22,2020-03-25,2020-03-25,"60 Furman Street  Brooklyn, NY, 11201",Kings,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,342",169,169
1 Hotel Central Park,2020-03-30,2020-03-30,2020-03-30,"1414 Avenue of the Americas  New York, NY, 10019",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,160",146,146
11 Howard (Soho Hotel Manager LLC),2020-03-01,2020-05-27,2020-05-27,"11 Howard St.  New York, NY, 10036",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,538,123,123
"11th Street Hospitality LLC dba Cathedrale, Alphabet Bar and Little Sister (Moxy EV F&B)",2020-03-23,2020-04-01,2020-04-01,"112 East 11th Street  New York, NY, 10003",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,059",218,218
"11th Street Hospitality LLC dba Cathedrale, Alphabet Bar and Little Sister (Moxy EV F&B) (NYC)",2020-08-10,2020-08-11,2020-08-11,"112 East 11th Street  New York, NY, 10003",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,221,5,5
"20 Times Rest LLC - 701 West, Lobby Bar, Paradise Club, and The Terrace and Outdoor Gardens",2020-03-16,2020-03-18,2020-03-18,"701 7th Ave.  New York, NY, 10036",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,691",292,292
22 East 54th Street Restaurant Corp dba Papillon Bistro and Bar,2020-03-16,2020-03-20,2020-03-20,"22 East 54th St.  New York, NY, 10018",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,566",75,75
"26th Street Restaurant, LLC d/b/a Upland NYC",2020-12-14,2020-12-11,2020-12-11,"345 Park Avenue South  New York, NY, 10010",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,12,18,18
"26th Street Restaurant, LLC dba Upland NYC",2020-03-23,2020-03-25,2020-03-25,"345 Park Ave. South  New York, NY, 10010",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,360",134,134
"28 Liberty F&B Management, LLC",2020-03-18,2020-03-31,2020-03-31,"28 Liberty Street  New York, NY, 10005",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,"1,091",178,178
