Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
677 LEX TGI INC. - TGI Friday's Restaurant,2016-07-19,2016-04-18,2016-04-18,"677 Lexington Avenue  New York, NY, 10022",New York,,N/A,Economic,136,36,36
790 French LLC @ The Hilton Garden Inn Times Square,2016-06-30,2016-03-31,2016-03-31,"790 Eighth Avenue  New York, NY, 10019",New York,,N/A,Non renewal of lease,2,64,64
"A&P Coat, Apron & Linen Supply dba Unitex Textile Rental Services",2017-01-07,2016-10-07,2016-10-07,"192 Mohagen Avenue  Middletown, NY, 10940",Orange,,N/A,Economic,28,65,65
ABC Carpet Co. Inc.,2016-06-14,2016-06-14,2016-06-14,"1055 Bronx River Avenue  Bronx, NY, 10472",Bronx,,N/A,Economic,80,65,65
ABC Home Furnishings,2016-09-14,2016-06-14,2016-06-14,"1055 Bronx River Avenue  Bronx, NY, 10472",Bronx,,N/A,Economic,81,13,13
"Aéropostale, Inc.",2016-12-08,2016-09-08,2016-09-08,"100 W, 33rd Street, 11th Floor - Corporate  New York, NY, 10001",New York,,N/A,Chapter 11 Bankruptcy,1,30,30
"Aéropostale, Inc.",2016-12-08,2016-09-08,2016-09-08,"112 W. 34th Street, 22nd Floor - HQ  New York, NY, 10120",New York,,N/A,Chapter 11 Bankruptcy,2,198,198
Ahold USA Inc. -  American Sales Company,2016-06-10,2016-01-14,2016-01-14,"1 Scrivner Place  Cheektowaga, NY, ",Erie,,N/A,Economic,210,18,18
Ahold USA Inc.- American Sales Company,2016-06-10,2016-01-14,2016-01-14,"4201 Walden Avenue  Lancaster, NY, ",Erie,,N/A,Economic,211,574,574
AIG - American International Group,2016-04-11,2016-05-24,2016-05-24,"1 New York Plaza  New York, NY, 10004",New York,,N/A,Economic,106,4,4
AIG - American International Group,2016-03-11,2016-03-21,2016-03-21,"1 New York Plaza  New York, NY, 10004",New York,,N/A,Economic,156,12,12
AIG - American International Group,2016-04-11,2016-05-24,2016-05-24,"32 Old Slip  New York, NY, 10004",New York,,N/A,Economic,107,1,1
AIG - American International Group,2016-03-11,2016-03-21,2016-03-21,"32 Old Slip  New York, NY, 10005",New York,,N/A,Economic,157,27,27
