Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"1 Prospect Park ALF, LLC",2014-04-30,2014-03-17,2014-03-17,"1 Prospect Park West  Brooklyn, NY, 11215",Kings,,N/A,Economic,225,68,68
"1-800-Flowers.com, Inc.",2014-10-31,2014-07-31,2014-07-31,"One Old Country Road  Carle Place, NY, 11514",Nassau,,N/A,Restructuring Service Center operations,1,220,220
"3rd Avenue Transit, Inc./Canal Escorts, Inc.",,2014-03-27,2014-03-27,"101 Lincoln Avenue  Brooklyn, NY, 10454",Kings,,N/A,Loss of Contract with NYC DOE,1,91,91
50 Restaurant Group LLC d/b/a WD-50,,2014-09-11,2014-09-11,"50 Clinton Street  New York, NY, 10002",New York,,N/A,Economic,89,39,39
ABCO Carpentry Inc.,,2014-05-16,2014-05-16,"4181 3rd Avenue  Bronx, NY, 10457",Bronx,,N/A,Economic,154,6,6
"ABCO Steel Door, LLC",,2014-05-16,2014-05-16,"4181 3rd Avenue  Bronx, NY, 10457",Bronx,,N/A,Economic,155,46,46
Acme Bus Corp.,2014-03-21,2014-03-14,2014-03-14,"21 Fulton Street  Middletown, NY, 10940",Orange,,N/A,Contract Expiration with Orange Co Dept of Health,1,3,3
Acme Bus Corp.,2014-08-15,2014-02-28,2014-02-28,"30 West Yaphank Road  Coram, NY, 11763",Suffolk,,N/A,Loss of Contract,37,58,58
Adecco Group,2014-08-29,2014-05-30,2014-05-30,"175 Broad Hollow Road  Melville, NY, 11747",Suffolk,,N/A,Relocation of business,1,154,154
Advanced Motors and Drives,2014-09-08,2014-03-06,2014-03-06,"6268 East Molly Road  East Syracuse, NY, 13057",Onondaga,,N/A,Economic,230,34,34
"Aegis USA, Inc.",,2014-04-17,2014-04-17,"80 Broad Street, 11th Floor  New York, NY, 10004",New York,,N/A,Economic,166,190,190
Aircraft Service International Inc.,,2014-10-29,2014-10-29,"JFK International Airport Terminal One  Jamaica, NY, 11430",Queens,,N/A,Loss of Contract by Terminal One Group Airlines,1,546,546
"Albany Molecular Research Inc. - AMRI, Inc. Syracuse Research Center",,2014-04-15,2014-04-15,"7001 Performance Drive  North Syracuse, NY, 13212",Onondaga,,N/A,Economic,188,45,45
Albert Einstein College of Medicine of Yeshiva University,,2014-10-06,2014-10-06,"260 East 161st Street  Bronx, NY, 10451",Bronx,,N/A,Montefiore Medical Center will take over facility,1,57,57
Albert Einstein College of Medicine of Yeshiva University,,2014-10-06,2014-10-06,"804 East 138th Street  Bronx, NY, 10454",Bronx,,N/A,Montefiore Medical Center will take over facility,2,52,52
Albert Einstein College of Medicine of Yeshiva University,,2014-10-06,2014-10-06,"1510 Waters Place  Bronx, NY, 10461",Bronx,,N/A,Montefiore Medical Center will take over facility,3,89,89
Alcoa Primary Metals at Massena Plant - East,,2014-01-17,2014-01-17,"194 County Route 45  Massena, NY, 13662",St Lawrence,,N/A,Economic,278,332,332
All American School Bus Corp,,2014-03-27,2014-03-27,"4-11 26th Avenue  Long Island City, NY, 11102",Queens,,N/A,Economic,213,260,260
All American School Bus Corp,,2014-03-27,2014-03-27,"11- 08 30th Avenue  Long Island City, NY, 11102",Queens,,N/A,Economic,214,103,103
All American School Bus Corp.,,2014-03-27,2014-03-27,"6160 Strickland Avenue  Brooklyn, NY, 11234",Kings,,N/A,Economic,210,314,314
Allied Transit Corp.,2014-06-26,2014-03-31,2014-03-31,"141 Hinsdale Street  Brooklyn, NY, ",Kings,,N/A,Loss of Contract,20,104,104
Allied Transit Corp.,2014-06-26,2014-03-31,2014-03-31,"148 Snediker  Brooklyn, NY, ",Kings,,N/A,Loss of Contract,21,6,6
"Alpina Foods, Inc",2014-10-19,2014-10-14,2014-10-14,"5011 Ag Park Drive, West  Batavia, NY, 14020",Genesee,,N/A,Economic,67,32,32
Amalgamated Bank - Branch 24,2015-03-31,2014-12-09,2014-12-09,"426 86th Street  Brooklyn, NY, 11209",Kings,,N/A,Economic,8,4,4
Amalgamated Bank - Branch 26,2015-03-31,2014-12-09,2014-12-09,"56-29 Myrtle Avenue  Ridgewood, NY, 11385",Queens,,N/A,Economic,10,4,4
Amalgamated Bank - Branch 28,2015-03-31,2014-12-09,2014-12-09,"1201 Avenue J  Brooklyn, NY, 11230",Kings,,N/A,Economic,9,4,4
Amalgamated Bank - Branch 29,2015-03-31,2014-12-09,2014-12-09,"2178 White Plains Road  Bronx, NY, 10462",Bronx,,N/A,Economic,7,3,3
Amalgamated Bank - Branch 30,2015-03-31,2014-12-09,2014-12-09,"69-71 Grand Avenue  Maspeth, NY, 11378",Queens,,N/A,Economic,11,5,5
Amalgamated Bank - Branch 31,2015-03-31,2014-12-09,2014-12-09,"78-01 37th Avenue  Maspeth, NY, 11372",Queens,,N/A,Economic,12,6,6
ARAMARK - United Nations,2015-01-01,2014-10-01,2014-10-01,"1 United Nations Plaza  New York, NY, 10017",New York,,N/A,Possible Contract Loss,1,123,123
ARAMARK Business Dining Services - JPMC,,2014-08-01,2014-08-01,"1 Chase Manhattan Plaza  New York, NY, 10081",New York,,N/A,Economic,107,28,28
AsteelfFash US East Corporation,2014-06-27,2014-03-28,2014-03-28,"941 State Route 38  Owego, NY, 13827",Tioga,,N/A,Economic,209,34,34
