Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"ACC Capital Holdings (Ameriquest, AMC & Argent)",2007-05-25,2007-03-26,2007-03-26,"44 S. Broadway  White Plains, NY, ",Westchester,,N/A,Restructuring and consolidating corporate function,2,267,267
"ACC Capital Holdings (Ameriquest, AMC & Argent)",2007-05-25,2007-03-26,2007-03-26,"333 Westchester Avenue  White Plains, NY, ",Westchester,,N/A,Restructuring and consolidating corporate function,3,146,146
"ACC Capital Holdings (Ameriquest, AMC & Argent)",2007-05-25,2007-03-26,2007-03-26,"461 Fifth Avenue  New York, NY, ",New York,,N/A,Restructuring and consolidating corporate function,1,10,10
Albany International Corp. (East Greenbush Plant),2007-09-15,2007-08-06,2007-08-06,"253 Troy Road  Rensselaer, NY, 12144",Rensselaer,,N/A,Economic,24,137,137
Albany International Corp. (Menands Plant),2007-10-31,2007-08-06,2007-08-06,"1373 Broadway  Albany, NY, 12204",Albany,,N/A,Economic,23,88,88
"American Axle & Manufacturing, Inc. (Buffalo Gear & Axle Plant)",2007-11-19,2007-09-19,2007-09-19,"1001 East Delavan Avenue  Buffalo, NY, 14215",Erie,,N/A,Economic,18,264,264
American Home Mortgage,2007-08-03,2007-08-21,2007-08-21,"538 Broadhollow Road  Melville, NY, 11747",Suffolk,,N/A,Downturn in housing related businesses,2,"1,555","1,555"
"American Rock Salt Company, LLC",2006-12-21,2007-01-23,2007-01-23,"5520 Route 63  Mt. Morris, NY, 14510",Livingston,,N/A,Result of unforeseen unprecedented weather,1,123,123
Amherst Injection Molding (Enhanced Manufacturing Solutions-Delphi Thermal Products parent company),2007-05-01,2007-04-11,2007-04-11,"500 Commerce Drive  Amherst, NY, 14228",Erie,,N/A,Economic,41,161,161
"Aon Risk Services, Aon Client Services",2007-03-31,2007-01-29,2007-01-29,"199 Water Street  New York, NY, ",New York,,N/A,Consolidation,5,170,170
Aramark Management Services Limited Partnership,2007-07-01,2007-04-26,2007-04-26,"850 East 138th Street  New York, NY, 10454",New York,,N/A,Contract expiration,1,57,57
"Arcelor International America, LLC",2007-06-29,2007-05-04,2007-05-04,"350 Hudson Street, 4th Floor  New York, NY, 10014",New York,,N/A,Economic,36,72,72
AXA Equitable Life Insurance Co. (Broker Dealer operating unit),2007-09-24,2007-07-27,2007-07-27,"1290 Avenue of the Americas  New York, NY, 10104",New York,,N/A,Business decision to close the unit,1,68,68
Bank of America Specialist Organization,2007-03-18,2007-02-07,2007-02-07,"14 Wall Street  New York, NY, ",New York,,N/A,New and advanced technology by the NYSE,3,38,38
"Baumann & Sons Buses, Inc.",2007-06-15,2007-05-01,2007-05-01,"35 Norm Avenue  Bedford, NY, 10507",Westchester,,N/A,Loss of contract with Bedford Public School District,1,97,97
"Becker-Parkin Dental Supply Company, Inc.",2007-07-01,2007-06-11,2007-06-11,"1 Fulton Avenue  Hempstead, NY, 11550",Nassau,,N/A,Purchase by Henry Schein Inc,1,54,54
"Becker-Parkin Dental Supply Company, Inc.",2007-07-01,2007-06-11,2007-06-11,"450 W. 33rd Street  New York, NY, 10001",New York,,N/A,Purchase by Henry Schein Inc,2,138,138
Berry Plastics Corporation,2007-07-10,2007-07-10,2007-07-10,"78 Fernbrook Street  Yonkers, NY, 10705",Westchester,,N/A,Economic,29,67,67
"Best Metropolitan Towel & Linen Supply Co., Inc.",2008-01-02,2007-11-08,2007-11-08,"45 Kosciusko Street  Brooklyn, NY, 11205",Kings,,N/A,Unknown,1,60,60
Bombardier Services Corporation,2007-08-31,2007-07-02,2007-07-02,"JFK International Airport, Bldg. 77 Eastern Road  Jamaica, NY, 11430",Queens,,N/A,Comair termination of contract,1,7,7
Bookspan,2007-05-21,2007-05-24,2007-05-24,"401 Franklin Avenue  Garden City, NY, 11530",Nassau,,N/A,Economic,33,236,236
Brunswick Hospital Center's Nursing Home & PMR Building,2007-05-23,2007-05-04,2007-05-04,"366 Broadway  Amityville, NY, 11701",Suffolk,,N/A,Berger Commission impacted closure other,1,223,223
"Bush Industries, Inc. (Little Valley facility)",2007-06-29,2007-04-27,2007-04-27,"315 Fair Oak Street  Little Valley, NY, 14755",Cattaraugus,,N/A,Petition 61246,1,90,90
Cabrini Medical Center,2007-12-31,2007-11-01,2007-11-01,"227 East 19th Street  New York, NY, 10003",New York,,N/A,Berger Commission impacted closure,2,778,778
Cabrini Medical Center,2007-08-27,2007-06-28,2007-06-28,"227 East 19th Street  New York, NY, 10003",New York,,N/A,Berger Commission impacted closure,3,889,889
Cadbury Schweppes Americas Beverages,2007-12-11,2007-10-15,2007-10-15,"900 King Street  Rye Brook, NY, 10573",Westchester,,N/A,Economic,15,150,150
CareGuide,2007-07-13,2007-07-18,2007-07-18,"755 Jefferson Road  Rochester, NY, 14623",Monroe,,N/A,Economic,26,39,39
Cargill (salt mine),2007-03-12,2007-01-16,2007-01-16,"191 Portland Point Road  Lansing, NY, 14882",Tompkins,,N/A,Adverse business conditions,1,80,80
"Circle Line Statue of Liberty Ferry, Inc.",2007-09-10,2007-07-11,2007-07-11,"17 Battery Place, Ste. 715  New York, NY, 10004",New York,,N/A,NPS decision not to renew concession agreement,1,165,165
Citigroup Inc. (family of companies),2007-04-23,2007-05-04,2007-05-04,"  New York, NY, ",New York,,N/A,Economic,37,"1,073","1,073"
"Citizens Telecommunications Company of New York, Inc. (Frontier)",2007-03-01,2007-01-02,2007-01-02,"60 Church Street  Gloversville, NY, 12078",Genesee,,N/A,Company consolidation,1,204,204
"Cohoes Fashions, Inc.",2007-03-30,2007-02-02,2007-02-02,"3349 Monroe Avenue  Rochester, NY, 14618",Monroe,,N/A,Economic,66,74,74
"Columbia Home Loans, LLC (CHL) (Subsidiary of Ocean First Bank)",2007-07-03,2007-05-21,2007-05-21,"400 Columbus Avenue  Valhalla, NY, 10595",Westchester,,N/A,Sudden and unexpected downturn in the subprime,1,42,42
Community Premier Plus,2007-07-15,2007-05-15,2007-05-15,"384 East 149th Street, Suite 504  Bronx, NY, 10455",Bronx,,N/A,Economic,34,24,24
Community Premier Plus,2007-07-15,2007-05-15,2007-05-15,"549 West 180th Street, 2nd Floor  New York, NY, 10033",New York,,N/A,Economic,35,114,114
"CompUSA, Inc. (Store #551)",2008-02-08,2007-12-17,2007-12-17,"420 Fifth Avenue  New York, NY, 10018",New York,,N/A,Economic Acquired by Gordon Brothers,1,50,50
"CompUSA, Inc. (Store #707)",2008-02-08,2007-12-17,2007-12-17,"1775 Broadway  Manhattan, NY, 10019",New York,,N/A,Economic Acquired by Gordon Brothers,2,50,50
Concord Electronics Corporation,2007-03-13,2007-01-16,2007-01-16,"30 Great Jones Street  New York, NY, 10012",New York,,N/A,Unable to find affordable suitable facility,1,109,109
"Contec Holdings, Ltd.",2007-04-26,2007-04-30,2007-04-30,"1011 State Street  Schenectady, NY, 12307",Schenectady,,N/A,Economic,39,131,131
Countrywide Home Loans (Wholesale division),2007-10-12,2007-08-22,2007-08-22,"2 Jericho Plaza, 3rd Floor  Jericho, NY, 11753",Nassau,,N/A,Economic,22,50,50
Crotched Mountain,2007-06-04,2007-04-09,2007-04-09,"573 Main Street, Suite #1  Cobleskill, NY, 12043",Schoharie,,N/A,Economic,43,25,25
Crotched Mountain,2007-06-04,2007-04-09,2007-04-09,"1873 Western Avenue  Albany, NY, 12203",Albany,,N/A,Economic,42,38,38
"Crysteel Manufacturing, Inc. - TBEI",2007-04-22,2007-03-01,2007-03-01,"1902 Route 57  Fulton, NY, 13069",Oswego,,N/A,Economic,59,64,64
"Del Laboratories, Inc.",2007-04-12,2007-02-12,2007-02-12,"99 Creek Street  Canajoharie, NY, 13317",Montgomery,,N/A,Economic,65,80,80
Delta Funding Corporation,2007-12-07,2007-12-11,2007-12-11,"1000 Woodbury Road  Woodbury, NY, 11797",Nassau,,N/A,DFC s seeking bankruptcy protection,1,191,191
Delta Funding Corporation,2007-11-08,2007-11-14,2007-11-14,"1000 Woodbury Road  Woodbury, NY, 11797",Nassau,,N/A,Economic,10,174,174
Dillon Read Capital Management LLC,2007-06-18,2007-06-25,2007-06-25,"1251 Avenue of the Americas  New York, NY, 10020",New York,,N/A,Re integrate DRCM into UBS Investment Bank business,1,80,80
Eaton Corporation,2007-05-31,2007-02-02,2007-02-02,"1920 Route 96  Phelps, NY, 14532",Ontario,,N/A,Moving manufacture of product to Tijuana Mexico,1,169,169
Eber Bros. Wine & Liquor Corp.,2007-03-18,2007-02-20,2007-02-20,"146 N.E. Industrial Park  Guilderland Center, NY, 12085",Albany,,N/A,Economic,60,101,101
Eber Bros. Wine & Liquor Corp.,2007-03-18,2007-02-20,2007-02-20,"155 Paragon Drive  Rochester, NY, 14624",Monroe,,N/A,Economic,62,138,138
Eber Bros. Wine & Liquor Corp.,2007-03-18,2007-02-20,2007-02-20,"305 S. Regent Street  Port Chester, NY, 10573",Westchester,,N/A,Economic,64,212,212
Eber Bros. Wine & Liquor Corp.,2007-03-18,2007-02-20,2007-02-20,"4529 Crown Road  Liverpool, NY, 13088",Onondaga,,N/A,Economic,63,48,48
Eber Bros. Wine & Liquor Corp.,2007-03-18,2007-02-20,2007-02-20,"6000 N. Bailey Avenue, 1E  Amherst, NY, 14226",Erie,,N/A,Economic,61,42,42
"Eden Park Health Services, Inc.",2007-04-30,2007-04-24,2007-04-24,"136 Parkway Drive  Cobleskill, NY, 12043",Schoharie,,N/A,New Ownership economic,1,180,180
"EMD Chemicals, Inc.",2007-11-30,2007-07-18,2007-07-18,"7 Skyline Drive  Hawthorne, NY, 10532",Westchester,,N/A,Organizational Operational changes,1,65,65
"Empire Beef Company, Inc.",2007-11-06,2007-09-10,2007-09-10,"171 Weidner Road  Rochester, NY, 14624",Monroe,,N/A,Economic,20,252,252
Faradyne Motors LLC,2007-08-01,2007-05-16,2007-05-16,"1000 Technology Parkway  Newark, NY, 14513",Wayne,,N/A,Economic Petition filed 6 11 07,1,50,50
Ferro Electronic Material Systems,2007-05-15,2007-03-19,2007-03-19,"4511 Hyde Park Boulevard  Niagara Falls, NY, 14305",Niagara,,N/A,Diminished demands for products produced,1,140,140
First Advantage Corporation,2007-09-17,2007-07-18,2007-07-18,"63 South Service Road, Suite 210  Melville, NY, 11747",Suffolk,,N/A,Economic,27,58,58
First Magnus Financial Corporation (Long Island Wholesale),2007-08-17,2007-08-20,2007-08-20,"1393 Veterans Memorial Highway, Suite 214N  Hauppauge, NY, 11788",Suffolk,,N/A,Unprecedented conditions in real estate market,1,51,51
"FloorServe, Inc.",2008-01-31,2007-12-07,2007-12-07,"309 North Hamilton Street  Dalton, GA, 30720",Monroe,,N/A,Only client cancelling contract with FloorServe,1,1,1
"FloorServe, Inc.",2008-01-31,2007-12-07,2007-12-07,"309 North Hamilton Street  Dalton, GA, 30720",Niagara,,N/A,Only client cancelling contract with FloorServe,2,1,1
"FloorServe, Inc.",2008-01-31,2007-12-07,2007-12-07,"309 North Hamilton Street  Dalton, GA, 30720",Onondaga,,N/A,Only client cancelling contract with FloorServe,3,1,1
"FloorServe, Inc.",2008-01-31,2007-12-07,2007-12-07,"309 North Hamilton Street  Dalton, GA, 30720",Orange,,N/A,Only client cancelling contract with FloorServe,4,1,1
"FloorServe, Inc.",2008-01-31,2007-12-07,2007-12-07,"309 North Hamilton Street  Dalton, GA, 30720",Richmond,,N/A,Only client cancelling contract with FloorServe,5,1,1
"FloorServe, Inc.",2008-01-31,2007-12-07,2007-12-07,"309 North Hamilton Street  Dalton, GA, 30720",Schenectady,,N/A,Only client cancelling contract with FloorServe,6,1,1
Forth & Towne,2007-05-01,2007-03-06,2007-03-06,"675 6th Avenue and 2640 Pallsades Center Drive  West Nyack, NY, ",Rockland,,N/A,Economic,56,115,115
Foxtons US,2007-09-26,2007-10-01,2007-10-01,"30-56 WhiteStone Expressway, Suite 350  Whitestone, NY, 11354",New York,,N/A,Economic,17,68,68
Fremont Investment & Loan,2007-05-18,2007-04-24,2007-04-24,"555 Taxter Road, Suite 220  Elmsford, NY, 10523",Westchester,,N/A,Current market conditions,1,169,169
"Frontier Telephone Company of Rochester, Inc.",2007-09-30,2007-08-02,2007-08-02,"180 S. Clinton Avenue  Rochester, NY, 14646",Monroe,,N/A,Will be folded into operations elsewhere,1,70,70
"Frontier Telephone Company of Rochester, Inc.",2007-09-30,2007-08-02,2007-08-02,"1225 Jefferson Road  Rochester, NY, 14623",Monroe,,N/A,Entirely converting to a smaller home based,1,100,100
"GCA Services Group, Inc. (located at St. John's University (SJU))",2007-08-03,2007-08-02,2007-08-02,"800 Utopia Parkway  Queens, NY, 11439",Queens,,N/A,GCA termination of service agreement with SJU,1,172,172
GED Integrated Solutions,2007-03-26,2007-01-26,2007-01-26,"140 Commerce Drive  Hauppauge, NY, 11788",Suffolk,,N/A,Economic,69,54,54
"Gibbs & Cox, Inc.",2007-07-01,2007-07-02,2007-07-02,"3 West 35th Street  New York, NY, 10001",New York,,N/A,Not awarded the AWD contract,1,12,12
"Gibbs & Cox, Inc.",2007-07-01,2007-07-02,2007-07-02,"485 7th Avenue, Room 605T  New York, NY, 10018",New York,,N/A,Not awarded the AWD contract,2,,
"Great Lakes Bancorp, Inc. (to be acquired by First Niagara Financial Group, Inc.)",2008-02-15,2007-12-17,2007-12-17,"2421 Main Street  Buffalo, NY, 14210",Erie,,N/A,Acquired by First Niagara Financial Group Inc,1,117,117
"GreenPoint Mortgage Funding, Inc.",2007-08-23,2007-08-27,2007-08-27,"265 and 275 Broadhollow Road  Melville, NY, 11747",Suffolk,,N/A,Downturn in housing related businesses,1,45,45
"GreenPoint Mortgage Funding, Inc. Commercial Lending Division",2008-01-15,2007-11-15,2007-11-15,"265 and 275 Broadhollow Road  Melville, NY, 11747",Suffolk,,N/A,Economic,9,35,35
Guild Home for Aged Blind,2008-01-15,2007-11-16,2007-11-16,"75 Stratton Street South  Yonkers, NY, 10701",Westchester,,N/A,Economic,8,264,264
