state,employer_name,normalized_name,canonical_name,canonical_basis,industry,naics,naics_basis,naics_level,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
PA,Amazon,amazon,"Amazon.com, Inc.",wikidata,,45411,sec-sic,enterprise,1018724,AMZN,listed-extension,5961,Retail-Catalog & Mail-Order Houses,,,,Q133848906,cik,,,automatic,qid:Q133848906,,,Allegheny County,42003,40.469757,-79.980451,county,Allegheny,,2025-03-12,432,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,2067c14cd65d67ea2cb19c1757831f5eeb66237cac21f4dfca8e813b,c32fd566365d895be76d07731e235ba9ae8da541,2026-07-16,2026-07-19
PA,Amazon Fresh,amazon fresh,Amazon Fresh,wikidata,,,,,,,,,,,,,Q4740834,label,Amazon,,automatic,qid:Q4740834,,,,,,,,"Bucks, Delaware, Montgomery and Philadelphia",,2026-04-28,983,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,acbce8e373a1e7b07d2c8d3e2e7818d0eed12b21d40bfd4ed2b653aa,f4884ca9168f1d2f015b9762fe686176670dbd11,2026-07-16,2026-07-19
PA,"American Expediting Logistics, LLC",american expediting logistics,"American Expediting Logistics, LLC",filed,,,,,,,,,,,,,,,,,,n:american expediting logistics,,,Delaware County,42045,39.916685,-75.398818,county,Delaware,,2026-06-04,86,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,f9f4746ee0edb5654b3ed19002b0ff9cf8e46c8e7ffcb3d1a98d33a7,6833c89beef333ade2ba018062ff99850bd41d49,2026-07-16,2026-07-19
PA,"American Medical Response Mid-Atlantic, Inc.",american medical response mid atlantic,"American Medical Response Mid-Atlantic, Inc.",filed,,621910,employer,establishment,1277877,,exact:post-era,,,,,,,,,,automatic,cik:1277877,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2024-01-18,152,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,6baa9523ba64551712887dca810020d61b851042f7767595c875da0e,58aa2c7542aac6fb29038a05e60d176e518f4a44,2026-07-16,2026-07-19
PA,"Aramark Campus, LLC",aramark campus,"Aramark Campus, LLC",filed,,,,,1396751,,exact:post-era,,,,,,,,,,automatic,cik:1396751,,,Crawford County,42039,41.687876,-80.107795,county,Crawford,,2024-06-30,94,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,fb42d137de88b19591e2e0dcc647520e07e5dcd7300d193794f23118,0b641ca1108fea21ba6eb408c19c833b9824dc54,2026-07-16,2026-07-19
PA,Arway Uniform and Linen Rentals,arway uniform and linen rentals,Arway Uniform and Linen Rentals,filed,,,,,,,,,,,,,,,,,,n:arway uniform and linen rentals,Philadelphia city,4260000,Philadelphia County,42101,40.009376,-75.133346,place,Philadelphia,,2025-02-02,85,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,e839f0acd1366cca936d319fc24a5e0657377c35db544808730fb3a0,104a049fd10c78c49de1f2d1b4fd835d734badc6,2026-07-16,2026-07-19
PA,Ascent Tubular Products,ascent tubular products,Ascent Tubular Products,filed,,,,,,,,,,,,,,,,,,n:ascent tubular products,,,Allegheny County,42003,40.469757,-79.980451,county,Allegheny,,2023-01-11,114,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,dbf2f52c89e515249b0a58b6f4657639fe2a9226540ded8fe786163e,fe82edbd599064b514bf9e3bd56abac50c897645,2026-07-16,2026-07-19
PA,Assurant,assurant,Assurant,wikidata,,524128,sec-sic,enterprise,1267238,AIZ,exact,6399,"Insurance Carriers, NEC",,,,Q4810399,cik,,,automatic,qid:Q4810399,York city,4287048,York County,42133,39.964798,-76.73184,place,York,,2024-01-02,442,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,f664913b539cfe193fe8d80e00129aa4f28a7f0f37bd1a08d76f15d2,d3f5d45f280e4da0d1a6fff68a8d10b5eb488de8,2026-07-16,2026-07-19
PA,"BH Security, LLC (d/b/a Brinks Home)",bh security llc d b a brinks home,"BH Security, LLC",cleaned,,,,,,,,,,,,,,,,,,n:bh security,,,,,,,,Various counties,,2025-06-30,42,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,4625650e9c3d905c829cdcdb7f2f788a6b7eaf5391af465defc6b3bc,a7751d52ee04788d24751dea4b4d36d714060ed7,2026-07-16,2026-07-19
PA,BIOLYST Scientific,biolyst scientific,BIOLYST Scientific,filed,,,,,,,,,,,,,,,,,,n:biolyst scientific,Montgomery borough,4250632,Lycoming County,42081,41.173681,-76.868776,place,Montgomery,,2026-01-12,76,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,f5684aa8b66b1607a473280f2b9c048e086c6e0a293b4f1e1183092f,e4997b854b58d22d79064894d87d928d87d904a4,2026-07-16,2026-07-19
PA,"BLST Operating Company, LLC",blst operating,"BLST Operating Company, LLC",filed,,51,employer,establishment,,,,,,,,,,,,,,n:blst operating,Warren city,4281000,Warren County,42123,41.842916,-79.143865,place,Warren,,2023-06-02,23,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,dba09756ffe1394de33bf76e79bcd01fdb8c44c898f3756f5950d5a4,431906385027e187b5e7eec0129ecbf06a27c017,2026-07-16,2026-07-19
PA,BPM Limited,bpm,BPM Limited,filed,,,,,,,,,,,,,,,,,,n:bpm,Chester city,4213208,Delaware County,42045,39.845558,-75.371882,place,Chester,,2026-03-29,148,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,c4943fc53f3ee8a0fa4cef4430a31d76620a70646ff6408eed7ed398,3538090384f969fe1251fe1a56e87851d09114c6,2026-07-16,2026-07-19
PA,"BVPV Styrenics, LLC",bvpv styrenics,"BVPV Styrenics, LLC",filed,,,,,,,,,,,,,,,,,,n:bvpv styrenics,Beaver borough,4204688,Beaver County,42007,40.693538,-80.307582,place,Beaver,,2025-01-03,140,mass_layoff,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,f043e57fda8c2f04d46f3563e740639ba7bfd9d9fd09b2b801455cef,b17a6d0efeccd1b747460f795f8cf9c82aff9f5e,2026-07-16,2026-07-19
PA,"Bakery Barn, LLC",bakery barn,"Bakery Barn, LLC",filed,,,,,,,,,,,,,,,,,,n:bakery barn,,,Allegheny County,42003,40.469757,-79.980451,county,Allegheny,,2025-08-01,82,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,e15a1e1e4a330bfa5692ee7640f1e4a8eec90351f086808a77bb1da1,2a24e5f6cd5ead2e128796aa99b2c2ff43f8937d,2026-07-16,2026-07-19
PA,"Bedding Acquisition, LLC",bedding acquisition,"Bedding Acquisition, LLC",filed,,,,,,,,,,,,,,,,,,n:bedding acquisition,,,Schuylkill County,42107,40.703682,-76.217788,county,Schuylkill,,2023-05-19,112,closure,,0,0,1,https://www.pa.gov/agencies/dli/programs-services/workforce-development-home/warn-requirements/warn-notices,919cb84d510790df3792e4400bab30b9c1a6dc0aca86a31a3fb9d376,62107fb57a9292c226bfcbf052435ddce5e3e3e8,2026-07-16,2026-07-19
