state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
UT,Youth Care of Utah,youth care of utah,,,,,,,,,,,,,,,"Acadia Healthcare Company, Inc.",1520697,,n:youth care of utah,Draper city,4920120,Salt Lake County,49035,40.49715,-111.864636,place,Draper,2011-03-25,,122,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,a64f65e867718423bde7c18318441d8a269e5cecdd75293a008e32f6,d7729831ad8e296d904ee98195429f6b1f1fdd63,2026-07-16,2026-07-19
UT,Air Terminal Gifts,air terminal gifts,,,,,,,,,,,,,,,,,,n:air terminal gifts,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2011-07-05,,15,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,78c21a6ccda8ad63bdd9a35060c079c7656ae1b32ac74acc79a270d7,9a0fe83a16c62191a7c817127105463b071200b2,2026-07-16,2026-07-19
UT,Wells Fargo & Co.,wells fargo,Wells Fargo,,522,sic-crosswalk,72971,WFC,exact,6021,National Commercial Banks,,,,Q744149,cik,,,automatic,qid:Q744149,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2011-07-11,,51,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,b0fba65a3cafad268cbb8be18fafa95d8cf91499e4c86c39804426ef,6b2de871b725fcd79eb2e3e2f221249212e95d72,2026-07-16,2026-07-19
UT,"Penco Products, Inc.",penco products,,,,,,,,,,,,,,,,,,n:penco products,West Jordan city,4982950,Salt Lake County,49035,40.602666,-112.001255,place,West Jordan,2011-07-12,,70,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,6b1c56a388b1a1a6302f510db92a0772da362ff79c44a9ccb1535e3a,622d0464be32143ebded2775101b8bbf9c86b0d6,2026-07-16,2026-07-19
UT,Honeywell (FRAM Group),honeywell fram group,Honeywell,,,,773840,HON,listed-extension:base,3724,Aircraft Engines & Engine Parts,,,,Q898208,cik,,,automatic,qid:Q898208,Clearfield city,4913850,Davis County,49011,41.097012,-112.01792,place,Clearfield,2011-08-10,,77,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,32af59379ee77e845579c899c40aac7754f40a630c4ae78f55b31aa0,58de42f769bb47c1b700e8068685e0b016dfe22b,2026-07-16,2026-07-19
UT,PACE American,pace american,,,336214,employer,,,,,,,,,,,,,,n:pace american,Hurricane city,4937170,Washington County,49053,37.148473,-113.358862,place,Hurricane,2011-09-20,,35,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,bbd24e4deb021f94b9ae392aba7d6c42653f22feb6ed86d32a02d25f,6e828ed670a5073c27537b13255f9a5b24acb527,2026-07-16,2026-07-19
UT,EG&G Subsidiary of URS,eg g subsidiary of urs,,,,,,,,,,,,,,,,,,n:eg g subsidiary of urs,Stockton town,4973050,Tooele County,49045,40.444132,-112.37442,place,Stockton,2011-10-06,,96,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,319a616ed02e2e0ec89d6d95aa5ad3e596c5746535d9a0b4268f5bb6,7690ac6999c7a17bf5ef9d084a7a45193f40540d,2026-07-16,2026-07-19
UT,HMS Host,hms host,HMSHost,,,,,,,,,,,,Q3786866,label,Autogrill,,automatic,qid:Q3786866,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,SLC,2011-10-17,,118,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,f8f0104f14c6ebd531adeb52c091a550b6a24f4e0fbf4902400e4958,f13c811f8f9a1a87581734c0bbfee9c71f3efef4,2026-07-16,2026-07-19
UT,Canyon Fuel Company,canyon fuel,,,,,1561142,,exact,,,,,,,,,,automatic,cik:1561142,,,Carbon County,49007,39.673284,-110.588484,county,Carbon County,2011-11-04,,114,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,b70672f64f69837df00e98237838e763091c5bfd93061dd9970bee4e,551cf0693beebaffb9d21db6b5627c36fbab58a7,2026-07-16,2026-07-19
UT,Nordstrom,nordstrom,Nordstrom,,44814,sic-crosswalk,72333,,exact,5651,Retail-Family Clothing Stores,,,,Q174310,cik,,,automatic,qid:Q174310,Orem city,4957300,Utah County,49049,40.298065,-111.699445,place,Orem,2011-12-12,,185,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,880e6a38329233d6c173112efb3c94508f8baba65c9795ed1e38812e,d7a11d9e3ae6fdeee03f442a18be5adb1a246216,2026-07-16,2026-07-19
