threshold,answered,coverage,precision,worker_coverage,worker_precision
0.0,271,0.9679,0.8007,0.9912,0.9215
0.5,269,0.9607,0.8067,0.9874,0.925
0.6,269,0.9607,0.8067,0.9874,0.925
0.7,263,0.9393,0.8061,0.9717,0.9259
0.8,246,0.8786,0.8211,0.9444,0.9304
0.85,221,0.7893,0.8416,0.9129,0.9391
0.9,207,0.7393,0.8599,0.8993,0.945
0.95,180,0.6429,0.8722,0.8649,0.9471
0.99,4,0.0143,1.0,0.0015,1.0
