state,location,notices,workers,reason
IL,"600 HOLIDAY PLAZA MATTESON, IL 60443",1,211,no matching place
NY,Far Rockaway,5,211,no matching place
NY,West Nyack/ Pelham Manor,1,211,2 distinct places named
CA,Milipitas,1,210,no matching place
GA,Fitgerald,1,210,no matching place
GA,Hazlhurst,1,210,no matching place
IL,"1801 Westwood Drive P O Box 956 Sterling, IL 61081",1,210,no matching place
OH,Hilliard of WIA-Rapid,1,210,no matching place
WA,"Lynwood, Mukilteo, Lakewood",1,210,2 distinct places named
IL,"1501 SOUTH 19TH MATTOON, IL 61938",2,209,no matching place
IL,"2848 W. McDonough Joliet, IL 60436",1,209,no matching place
MD,"7000 Arundel Mills Circle Hanover, MD 21076",3,209,no matching place
NY,Central Valley,6,209,no matching place
IL,"106 MARSHALL DR, BOX 134 NEWTON, IL 62448",1,207,no matching place
NJ,HAMILTON,3,207,no matching place
IL,"125 WEST MAIN CHAMPAIGN, IL 61820",1,206,no matching place
NC,New Hill,1,206,no matching place
CA,Azuza,2,205,no matching place
IL,"Bldg. 102, Rock Island Arsenal Rock Island, IL 61299-7680",2,205,no matching place
IL,"CHICAGO RESERVATIONS 3150 RIVER ROAD SUITE 200 DES PLAINES, IL 60018",1,205,no matching place
NC,2004 US Highway 74 W Wadesboro NC 28170,1,205,no matching place
NJ,"Atlanta, GA (work location: Newark International Airport)",1,205,no matching place
IL,"4501 North Winchester Chicago, IL 60640",1,204,no matching place
LA,"1202 Highway 509 Mansfield, LA 71052",1,204,no matching place
MO,"Kinloch, Vinita Park, Hazelwood",1,204,3 distinct places named
SC,Midlands,2,204,no matching place
TX,Old Ocean,1,204,no matching place
IL,"1400 Opus Place #200/300/40 Downers Grove, IL 60515",1,203,no matching place
IL,"427 N. Shamrock East Alton, IL 62024",2,203,no matching place
IL,"RR 2 PO BOX 637 WEST FRANKFORT, IL 62896",1,203,no matching place
OH,Village,3,203,no place name in the string
IL,"P.O. Box 1406 various Chicago sites Chicago, IL 60690-1406",1,202,no matching place
LA,"4000 E. Kaliste Saloom Lafayette, LA 70508",5,202,no matching place
MD,"Johns Hopkins University, 3400 North Charles Street; AMR1-LL Basement Baltimore, MD 21218",1,202,no matching place
OR,"Plano, TX",2,202,no matching place
VA,Norlfolk VA,1,202,no matching place
MA,"Chelsea, Dedham (Amazon Fulfillment Station)",1,201,2 distinct places named
MA,North Billerica,1,201,no matching place
VA,"Federicksburg, Newport News, Virginia Beach & Williamsburg VA",1,201,3 distinct places named
GA,Fort Oglethro,2,200,no matching place
IL,"600 MEACHAM ELK GROVE VILLAGE, IL 60007",1,200,no matching place
IL,"800 BROADVIEW VILLAGE SQ BROADVIEW, IL 60153",1,200,no matching place
IL,"900 South Route 66 Mount Olive, IL 62069",1,200,no matching place
IL,"HIGHWAY 32 SOUTH SULLIVAN, IL 61951",1,200,no matching place
IL,"P. O. BOX 392 ST. LOUIS, MO 63166",1,200,no matching place
IL,"PO BOX 940 SALEM, IL 62881",1,200,no matching place
IL,"multiple Chicago locations Chicago, IL 60606",1,200,no matching place
IN,"Bloomington, Mishawaka, South Bend",1,200,3 distinct places named
KY,Perry & Leslie,1,200,no matching place
KY,Pilaski,1,200,no matching place
LA,"2800 Post Oak Blvd. Houston, TX 77056",1,200,no matching place
LA,"One Saint Mary Place Shreveport, LA 71101",1,200,no matching place
MD,"55 Schilling Road Hunt Valley, MD 21031",1,200,no matching place
NC,Southern,1,200,no matching place
VA,Springfield & Newington VA,2,200,2 distinct places named
IL,"1115 West Fulton Market Chicago, IL 60607",1,199,no matching place
IL,"1400 North 30th Quincy, IL 62301",1,199,no matching place
MO,"High Ridge, Eureka, Grover",2,199,2 distinct places named
CA,34699 Golden Lantern Dana Point CA 92629,1,198,no matching place
IL,"MIDWAY AIRPORT & OHARE INTRNL 5700 S CICERO & TERMINAL 2 CHICAGO, IL 60638",2,198,no matching place
LA,"48177 Hwy 51 North Natalbany, LA 71273",1,198,no matching place
CT,Uncasville,3,197,no matching place
IL,"30 S. Wacker Chicago, IL 60606",1,197,no matching place
IL,"MATTIS AVE & HWY 150 CHAMPAIGN, IL 61820",1,197,no matching place
LA,"One Riverfront Place Newport, KY 41071",2,197,no matching place
IL,"100 Rivian Motorway Normal, IL 61761",2,196,no matching place
IL,"1603 ORRINGTON EVANSTON, IL 60201",1,195,no matching place
IL,"600 East Peoria Street P O Box 65 Goodfield, IL 61742",1,195,no matching place
LA,"Jacobs Technology Michoud Assembly Facility New Orleans, LA 70129",1,195,no matching place
NJ,Gladstone,1,195,no matching place
NV,"Re, He, LV, Wa, Cl",2,195,no matching place
WA,Eastsound (Orcas Island),1,195,no matching place
WA,Joint Base Lewis McChord,3,195,no matching place
CO,AdWorks,1,194,no matching place
IL,"6021 Development Dr. #2 Charleston, IL 61920",1,194,no matching place
MA,"Medford, Boston",2,194,2 distinct places named
MA,"Woburn, Boston",4,194,2 distinct places named
MD,"8261 Central Avenue Capital Heights, MD 20743",1,194,no matching place
IL,"155 PFINGSTEN DEERFIELD, IL 60015",1,193,no matching place
IL,"5996 W. Touhy Ave. 2nd Floor Niles, IL 60714",1,193,no matching place
IN,"Indianapolis, Franklin, Greencastle, Brazil, Batesville, Elkhart, Gary, Valparaiso, Hobart, Michigan City, Mooresville, Brazil",1,193,11 distinct places named
LA,"4100 Midway, Suite 1110 Carrollton, TX 75007",1,193,no matching place
NY,Renssalaer,1,193,no matching place
VA,Multiple Retail Locations in VA VA,1,193,no matching place
IL,"3001 WEST CORNELIA CHICAGO, IL 60618",1,192,no matching place
IL,"550 W. Van Buren Street, 7th Floor Chicago, IL 60607",1,192,no matching place
IL,"Multiple McHenry County sites McHenry County, IL 60021",1,192,no matching place
IL,"OLD US HWY 50W PO BOX 399 FLORA, IL 62839-0399",1,192,no matching place
IL,"Old US Hwy 50 West Flora, IL 62839-0399",1,192,no matching place
IL,"PO Box 347 22393 Crown II Mine Road Virden, IL 62690-0347",1,192,no matching place
IN,Greenfield & Goshen,1,192,2 distinct places named
IN,Nappanee and Peru,1,192,2 distinct places named
LA,"4401 Highway 108 Lake Charles, LA 77601",1,192,no matching place
NC,Fort Bragg Fort Bragg NC 28310,2,192,no matching place
SC,Moore,2,192,no matching place
IL,"2801 SOUTH ROUTE 30 PLAINFIELD, IL 60544",1,191,no matching place
IL,"5466 STATE RTE 154 PINCKNEYVILLE, IL 62274",1,191,no matching place
MD,"16020 Leeland Rd, Upper Marlboro, MD 20774; 6300 Columbia Park Rd, Landover, MD 20785",1,191,2 distinct places named
MI,Clinton Twp.,1,191,no matching place
MI,"Waterford, Michigan",1,191,no matching place
CT,"Westport, West Harford, Stamford",1,190,2 distinct places named
CT,"westport, West Hartford, Stamford",1,190,3 distinct places named
IL,"1000 Civic Center Drive Mt. Prospect, Prospect Heights, Des Plaines Niles, IL 60714",1,190,2 distinct places named
IL,"Eastern Illinois University 600 Lincoln Ave. Charleston, IL 61920-3099",2,190,no matching place
KS,3401 E. 4th,1,190,no matching place
LA,"U.S. Gulf of Mexico 105 Tower Rd. Houma, Louisiana",1,190,no matching place
MD,"7515 & 7535 Mission Dr, Lanhan-Seabrook and 8800 Greenbelt Road, Geenbelt, MD",1,190,no matching place
CA,Alviso,2,189,no matching place
IL,"WACKER PARK NORTH CHICAGO, IL 60064",1,189,no matching place
LA,"2317 Hwy 662 South Morgan City, LA 70381",6,189,no matching place
MD,"7426 New Ridge Road Hanover, MD 21076",1,189,no matching place
NJ,Lake Saint Louis,1,189,no matching place
IL,"1455 N Sedgwick St., Ground Floor Chicago, IL 60610-3538",1,188,no matching place
IL,"Multiple Locations Schaumburg, IL 60173",1,188,no matching place
LA,"3442 LA-12 Dequincy, LA 70633",1,188,no matching place
MI,Redford,1,188,no matching place
IL,"1100 S Hamilton Chicago, IL 60612-4284",1,187,no matching place
LA,"8736 Hwy 182N Opelousas, LA 70570",1,187,no matching place
NJ,JESEY CITY,1,187,no matching place
NJ,"Jersey City, Rutherford, Short Hills, Paramus,Hoboken, Fort Lee",1,187,6 distinct places named
WA,"Kent, Bothell, Bellevue, Fife",1,187,4 distinct places named
WA,"Lynnwood, Seattle",1,187,2 distinct places named
IL,"401 Terrace Drive Mundelein, IL 60060",2,186,no matching place
IN,Indianapolis & Yorktown,2,186,2 distinct places named
AK,"Fairbanks, North Pole",1,185,2 distinct places named
GA,Lithia Spring,1,185,no matching place
IL,"1000 W. Pershing Chicago, IL 60609-1426",1,185,no matching place
IL,"875 N. Michigan Chicago, IL 60611",1,185,no matching place
IL,"East Rt Highway 316 Charleston, IL 61920",1,185,no matching place
IL,"MARKET PLACE MALL 1000 NORTH NEIL STREET CHAMPAIGN, IL 61820",1,185,no matching place
IL,"ROUTE 316 EAST CHARLESTON, IL 61920",1,185,no matching place
LA,"2002 Crow Lane Pelican, LA 71063",2,185,no matching place
MA,"Burlington, Boston",2,185,2 distinct places named
SC,"iGcsr,e eInncv i(l""leRyder"")",1,185,no matching place
TX,Clear Lake,1,185,no matching place
IL,"2451 N HOWARD CHICAGO, IL 60645",1,184,no matching place
IL,"BOX 1196, 630 US HGWY 150 E. GALESBURG, IL 61401",3,184,no matching place
IL,"Chicago O'Hare Airport Terminal 1, Gate B20, Ramp Level Chicago, IL 60666",1,184,no matching place
IN,"Delphos, OH",2,184,no matching place
NC,2400 Ellis Road Durham NC 27709- 0001,1,184,no matching place
NJ,New Jersey,1,184,no matching place
CA,San Juan,3,183,no matching place
IL,"110 North Carpenter Chicago, IL 60607-2146",2,183,no matching place
IL,"1200 North Kennedy Kankakee, IL 60901",2,183,no matching place
MI,Canton,4,183,no matching place
OH,"Columbus (Franklin), Johnstown (Licking)",1,183,3 distinct places named
WA,Bothell/Redmond/Bellevue,3,183,3 distinct places named
CA,West Toluca Lake,1,182,no matching place
IL,"111 EAST WACKER DRIVE #320 CHICAGO, IL 60601",1,182,no matching place
IL,"JOLIET-ROCKDALE GENERATING ST. #29 1800 CHANNAHON ROAD JOLIET, IL 60436",1,182,no matching place
VA,Langley AFB VA,1,182,no matching place
AK,Anchorage on Old Seward Hwy.,1,181,no matching place
NJ,Bricktown,2,181,no matching place
IL,"625 W Columbian Blvd S 5 Litchfield, IL 62056-3023",1,180,no matching place
IL,"750 Broadway Avenue East Mattoon, IL 61938",1,180,no matching place
IL,"State of Illinois Multiple Locations, IL 62701",1,180,no matching place
MD,"101 Schilling Road Suite 40 Hunt Valley, MD 21031",1,180,no matching place
MO,No. Kansas City,1,180,no matching place
NJ,DEEPWATER,3,180,no matching place
NJ,Fairfax,1,180,no matching place
OH,Urbana,1,180,no place name in the string
CA,ARLETA,3,179,no matching place
IL,"120 S Riverside Plz Ste 2000 Chicago, IL 60606-6995",1,179,no matching place
IL,"70 Yorktown Center Lombard, IL 60148",1,179,no matching place
IL,"P. O. BOX 1333 CHICAGO, IL 60690-1333",1,179,no matching place
MD,"3501 University Blvd. E Hyattsville, MD 20783",1,179,no matching place
OH,Chester,2,179,no matching place
IL,"2006 KENTVILLE ROAD P O BOX 364 KEWANEE, IL 61443",2,178,no matching place
IL,"350 SOUTH ROUTE 53 ADDISON, IL 60101",1,178,no matching place
LA,"1420 General Taylor New Orleans, LA 70015",1,178,no matching place
MA,East Boston,2,178,no matching place
WI,"Manitowoc, Sheboygan, West Bend",1,178,3 distinct places named
GA,Meter,1,177,no matching place
NY,Edgewood,2,177,no matching place
CA,La Crescenta,2,176,no matching place
IA,Duquque,1,176,no matching place
IL,"2244 S WESTERN AVENUE 1140 WEST EXCHANGE AVENUE CHICAGO, IL 60608",1,176,no matching place
IL,"425 N. Martingale Schaumburg, IL 60173",1,176,no matching place
LA,"U.S. Gulf of Mexico 3550 Taxi Road Houma, LA 70363",1,176,no matching place
MD,"1501 S. Clinton Street, 14th Floor Baltimore, MD 21224",2,176,no matching place
MD,"47765 Ranch Road HGR 101 Patuxent River, MD 20670",1,176,no matching place
NJ,Farmingham,1,176,no matching place
AK,"Clear, AK",2,175,no matching place
CA,BRODERICK,1,175,no matching place
GA,Heflin,1,175,no matching place
KY,"Muhlenberg, Hopkins",1,175,no matching place
NJ,Boston,1,175,no matching place
VA,Fairfax & Reston VA,1,175,2 distinct places named
WI,Madison/Fitchburg,1,175,2 distinct places named
IL,"100 LINCOLN SQUARE URBANA, IL 61801",2,174,no matching place
IL,"11010 West Addison Franklin Park, IL 60131",1,174,no matching place
IL,"Bldg 211 Redman Ave Rock Island, IL 61299-0001",1,174,no matching place
IL,"TRICO/CUTLER ROAD CUTLER, IL 62237",3,174,no matching place
IN,"Gary, Merrillville",1,174,2 distinct places named
MD,"10900 Old Court Road Woodstock, MD 21163",1,174,no matching place
MD,"9000 Rockville Pike, Building 10, Room B D19 Bethesda, MD 20892",1,174,no matching place
WA,"Keyport, Silverdale",2,174,2 distinct places named
LA,"415 Davis Avenue Barksdale Air Force Base Bossier City, LA 71110",3,173,no matching place
OH,Monroe (Butler),1,173,2 distinct places named
WA,"Seattle, Tukwila",1,173,2 distinct places named
CA,NIPTON,1,172,no matching place
IL,"410 NORTH CICERO CHICAGO, IL 60644-2097",1,172,no matching place
MA,Various Locations,1,172,no matching place
SC,Slater,2,172,no matching place
AK,Clear,1,171,no matching place
IL,"1200 E STREET EAST, PO BOX 380 TAYLORVILLE, IL 62568",1,171,no matching place
AL,Auburn University,1,170,no matching place
FL,VENUS,1,170,no matching place
IL,"#3 Cherry Vale Mall Rockford, IL 61107",1,170,no matching place
IL,"1000 Brewbaker Drive East ST ELMO, IL 62458",1,170,no matching place
IL,"1004 E. Illinois St. PO Box 20 Assumption, IL 62510",1,170,no matching place
IL,"1201 TONNE ROAD ELK GROVE VILLGE, IL 60007",1,170,no matching place
IL,"500 West Eldorado St. P.O Box 671 Decatur, IL 62522",1,170,no matching place
IL,"808 S Route 59 Naperville, IL 60540",1,170,no matching place
IL,"PO BOX 970 PARIS, IL 61944",1,170,no matching place
IL,"Route 45 South Box 411 Eldorado, IL 62930",1,170,no matching place
OR,GILCRIST,1,170,no matching place
FL,Base,2,169,no matching place
IL,"1200 W. Cermak Chicago, IL 60608",1,169,no matching place
NJ,HASBROUCK HTS.,1,169,no matching place
WA,"Everett, Kirkland, and Monroe",1,169,3 distinct places named
WA,"Mount Vernon, Mabton",1,169,2 distinct places named
IL,"1001 COLLEGE STREET BOX 258 MADISON, IL 62060",1,168,no matching place
IL,"301 EVANS AVENUE, BOX 182 WOOD RIVER, IL 62095",1,168,no matching place
IL,"50 MEADOWVIEW CENTER KANKAKEE, IL 60901",1,168,no matching place
IL,"950 Winston Plaza Melrose Park, IL 60160",1,168,no matching place
IL,"RT 13, BOX 730 MARION, IL 62959-0730",1,168,no matching place
MD,"10150 York Road, Suite 300 Hunt Valley, MD 21030",1,168,no matching place
MN,Louisville,1,168,no matching place
VA,N. Chesterfield VA,1,168,no matching place
WI,Madison and Menomonee Falls,1,168,2 distinct places named
AK,Anchorage on Muldoon Road,1,167,no matching place
AL,Perdue Hill,1,167,no matching place
GA,Hazelhurst,2,167,no matching place
IL,"4620 SOUTH DAMEN CHICAGO, IL 60609",1,167,no matching place
IL,"5945 SOUTH KEATING CHICAGO, IL 60629",1,167,no matching place
IL,"MURDOCK MINE MURDOCK, IL 61941",1,167,no matching place
KY,"Metcalfe, Monroe",1,167,no matching place
NY,Glendale,3,167,no matching place
OH,Springs,1,167,no matching place
UT,"Honeyville, Genola, Providence, & Midvale",1,167,4 distinct places named
IN,Bloomington and Oolitic,1,166,2 distinct places named
LA,1335 Jackson St,1,166,no place name in the string
LA,"150 Hwy 21 Madisonville, LA 70447",2,166,no matching place
MD,"7630 Gambrills Cove Curtis Bay, MD 21226",2,166,no matching place
AL,Townley,1,165,no matching place
CA,Valley Village,2,165,no matching place
IL,"2009 Maplewood De Kalb, IL 60115",2,165,no matching place
IL,"multiple DuPage County locations DuPage County, IL 60101",1,165,no matching place
MA,"Statewide, Statewide",3,165,no matching place
TX,Bergstrom AFB,1,165,no matching place
IL,"17 W 642 BUTTERFIELD RD OAK BROOK TERACE, IL 60181",1,164,no matching place
IL,"2001 E. 122nd St. 13227 S. Torrence Ave. Chicago, IL 60633",1,164,no matching place
IL,"530 RIVER OAKS WEST CALUMET CITY, IL 60409",1,164,no matching place
MI,"Birmingham, Michigan; Grand Rapids, Michigan; East Grand Rapids, Michigan; Holland, Michigan; Kalamazoo, Michigan; and Northville, Michigan",1,164,5 distinct places named
NJ,Ortley Beach,1,164,no matching place
NY,Elmhurst,6,164,no matching place
VA,Langley-Eustis VI,1,164,no matching place
GA,"5270 SE 131st St, Starke, Florida",1,163,no matching place
IL,"2059 WEST HASTINGS CHICAGO, IL 60601",1,163,no matching place
MD,"6700A Rockledge Drive, Suite 200 Bethesda, Maryland 20817",1,163,2 distinct places named
MI,"Grand Rapids, Michigan and Detroit, Michigan",1,163,2 distinct places named
OH,Franklin (Warren),2,163,2 distinct places named
OH,Franklin/Warren,3,163,2 distinct places named
OH,Randall,1,163,no matching place
OR,"Carlsbad, CA",1,163,no matching place
AL,Coral Gables,1,162,no matching place
CA,Corona Del Mar,4,162,no matching place
IL,"184 Shuman Blvd. #130 Naperville, IL 60563",1,162,no matching place
MI,"Flint, Michigan; Taylor, Michigan; and Ypsilanti, Michigan",1,162,3 distinct places named
MN,San Antonio,1,162,no matching place
AK,"North Slope, Kenai Peninsula, And Valdez",1,161,no matching place
CA,Porter Ranch,2,161,no matching place
IL,"850 W. Exchange Chicago, IL 60609",1,161,no matching place
IL,"8750 W. Bryn Mawr Suite 1000 Chicago, IL 60631-3554",1,161,no matching place
IL,"ONE KEMPER DRIVE LONG GROVE, IL 60049",1,161,no matching place
NJ,Multiple Locations Throughout NJ,1,161,no matching place
NM,Artecia,2,161,no matching place
WA,Bellevue & Kirkland,1,161,2 distinct places named
WA,Orondo,2,161,no matching place
CA,BRANSCOMB,2,160,no matching place
CO,Colo Springs/Pikes Peak,1,160,no matching place
CT,Remote Workers,1,160,no matching place
IL,"1665 E. Birchwood Des Plaines, IL 60018",1,160,no matching place
IL,"3400 GREEN BAY ROAD GREAT LAKES, IL 60085",1,160,no matching place
IL,"4500 North 1500 East Ridge Farm, IL 61870",1,160,no matching place
NJ,Baskin Ridge,1,160,no matching place
NJ,Peapack & Gladstone,1,160,no matching place
NV,"Las Vegas/Sparks, Clark/Washoe",1,160,2 distinct places named
OH,Fairfield (2) and Hamilton (1)(Butler),1,160,3 distinct places named
OH,Massillion Bureau of WIA-Rapid,1,160,no matching place
OH,Philadelphia,1,160,no matching place
LA,"309 North Hamilton Street Dalton, GA 30720",1,159,no matching place
LA,"6325 Hwy. 1 North Alexandria, LA. 71303",1,159,no matching place
MI,"Grand Rapids and Livonia, Counties: Kent and Wayne, Number Affected: 159",1,159,2 distinct places named
NC,5401 Maryland Avenue Camp Lejeune,1,159,no matching place
OH,Columbus (Franklin) and Wheelersburg (Scioto),1,159,3 distinct places named
GA,Armuchee,1,158,no matching place
IL,"29 N. Wacker Dr., 5th Fl Chicago, IL 60606",1,158,no matching place
IL,"775 State Route 251 P. O. BOX 549, RT 251 Wenona, IL 61377-7587",2,158,no matching place
MA,"Boston, Cambridge, Boston",1,158,2 distinct places named
MT,Multiple Counties,2,158,no matching place
NJ,Las Vegas,1,158,no matching place
NY,Middle Village,2,158,no matching place
VA,"Abingdon, Clintwood & Haysi VA",1,158,3 distinct places named
VA,Tabb VA,1,158,no matching place
CT,Not mentioned,2,157,no matching place
IL,"1034 East Ash Springfield, IL 62794",1,157,no matching place
IL,"25712 West 143rd Street P O Box 115 Plainfield, IL 60544",1,157,no matching place
IL,"325 East Army Trail Road Glendale Heights, IL 60139",1,157,no matching place
IL,"9600 South Harlem Avenue Brigdeview, IL 60455",1,157,no matching place
IL,"Rt. 178 & 71, PO Box 570 Utica, IL 61373",1,157,no matching place
MO,Town & Country,2,157,no matching place
OH,Solon of WIA-Rapid,1,157,no matching place
IL,"4700 WEST LAKE GLENVIEW, IL 60025",1,156,no matching place
IL,"I-74 AT G STREET PO BOX 592 DANVILLE, IL 61834-0592",1,156,no matching place
MD,"3300 Lord Baltimore Drive Windsor Mill, MD 21244",1,156,no matching place
MI,Lynchburg,2,156,no matching place
IL,"3051 Gateway Commerce Center Drive South Edwardsville, IL 62025",1,155,no matching place
IL,"3101 N. Route 30 Plainfield, IL 60544-9604",1,155,no matching place
IL,"770 SOUTH ACCO PLAZA WHEELING, IL 60090",2,155,no matching place
IL,"8201 W 47th St., McCook, IL 60525 600 W Chicago Ave., Ste. 125 Chicago, IL 60610",2,155,2 distinct places named
IL,"ROUTE 36 PO BOX 279 NEWMAN, IL 61942-0379",1,155,no matching place
MD,"1681 Nelson Street Fort Detrick, MD 21702",2,155,no matching place
NC,2116 New Bern Ave # D Raleigh NC 27610,1,155,no matching place
NC,5400 John Q. Hammons Dr. NW Concord NC 28027,1,155,no matching place
NJ,"Bergen, Burlington, Camden, Cumberland, Essex, Gloucester, Hudson, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, and Union Counties",1,155,7 distinct places named
IL,"Route 6 and Youngs Road Joliet, IL 60436",1,154,no matching place
MO,North Kansas CityLiberty,1,154,no matching place
NY,East Vestal,1,154,no matching place
WA,Bothell/Everett,1,154,2 distinct places named
WA,"Seattle, Bellevue, Everett, Federal Way, Kennewick",1,154,5 distinct places named
IL,"516 S WASHINGTON NAPERVILLE, IL 60540",1,153,no matching place
LA,"500 Rue de Santé LaPlace, LA 70068",1,153,no matching place
MN,Liberty Lake,1,153,no matching place
WI,Statewide,1,153,no matching place
IL,"3818 WEST GRANDVILLE GRUNEE, IL 60031",1,152,no matching place
IL,"O'Hare Intl Airport 10000 Bessie Coleman Dr. Chicago, IL 60666",1,152,no matching place
MD,"1350 Brass Mill Road Belcamp, MD 21017",1,152,no matching place
NC,Beaulaville,1,152,no matching place
AZ,Multiple,2,151,no matching place
CO,Multi Area,2,151,no matching place
CO,Various Regions,1,151,no matching place
KS,Cincinnati,1,151,no matching place
MI,"Southfield, Michigan; Kalamazoo, Michigan; and Center Line, Michigan",1,151,2 distinct places named
AL,Coosa Pine,1,150,no matching place
CA,ARLINGTON,3,150,no matching place
CA,WARNER SPRINGS,1,150,no matching place
IL,"1306 E. University Ave. Urbana, IL 61802",1,150,no place name in the string
IL,"20 Industrial Park Flora, IL 62839",1,150,no matching place
IL,"329 S. York Road, 3rd Floor Bensenville, IL 60106",1,150,no matching place
IL,"555 WILSON LANE AND 1717 RAND ROAD DES PLAINES, IL 60016-4794",1,150,no matching place
IL,"ALLSTATE PLAZA SOUTH NORTHBROOK, IL 60062",2,150,no matching place
IL,"Airport Road LaSalle, IL 61301",1,150,no matching place
IL,"RR 3 Box 228 Highway 54 Clinton, IL 61727",1,150,no matching place
IN,"Valparaiso, Mishawaka and Indianapolis",1,150,3 distinct places named
VA,Arlingotn VA,2,150,no matching place
VA,Culpepper VA,1,150,no matching place
AK,"Anchorage, Fairbanks, Denali National Park and Healy",1,149,2 distinct places named
AK,"Soldotna, Homer & Seward",1,149,3 distinct places named
IL,"300 Tri State Intl Ste 200 Lincolnshire, IL 60069-4415",1,149,no matching place
IL,"3821 HAWTHORNE WAUKEGAN, IL 60087-3221",1,149,no matching place
VA,Alexandria & Arlington VA,1,149,2 distinct places named
AZ,Raleigh,1,148,no matching place
FL,33316,1,148,no place name in the string
IL,"5601 WEST TOUHY NILES, IL 60714",2,148,no matching place
NC,411 International Drive NW Concord NC 28027,1,148,no matching place
VA,"Alexandria, Arlington, Falls Church, Sterling, Vienna & Woodbridge VA",1,148,6 distinct places named
WA,Usk,1,148,no matching place
CA,BASSETT,1,147,no matching place
FL,32258,1,147,no place name in the string
IL,"5333 S Laramie Avenue 5130 W 63rd Street Chicago, IL 60638",1,147,no matching place
IL,"PO Box 98 Gilman, IL 60938",2,147,no matching place
IL,"multiple Chicago locations Chicago, IL 60604",1,147,no matching place
NY,Mount Tremper,1,147,no matching place
NY,Rosedale,3,147,no matching place
NY,Springfield Gardens,3,147,no matching place
OH,Total,1,147,no matching place
TN,Claiborne and Greene County,1,147,no matching place
WA,"Wenatchee, Spokane, Sunnyside",1,147,2 distinct places named
WI,"Greenfield, Brookfield, Grand Chute, Madison, Ashwaubenon, Eau Claire",1,147,4 distinct places named
FL,Lake Worth,2,146,no matching place
GA,"Working Remote, Remote, Georgia",1,146,no matching place
IL,"5050 S. Kedzie Chicago, IL 60632",1,146,no matching place
NJ,HAMILTON TOWNSHIP,1,146,no matching place
FL,ISLAMORADA,1,145,no matching place
GA,Syvania,1,145,no matching place
IL,"10 South Dearborn Chicago, IL 60603",1,145,no matching place
IL,"1620 Central Roselle, IL 60172",1,145,no matching place
IL,"1658 West Grand Ave. Other Cook Co. sites Chicago, IL 60622",1,145,no matching place
IL,"6216 W 66TH PLACE BEDFORD PARK CHICA, IL 60499",1,145,no matching place
IL,"UNIVERSITY MALL CARBONDALE, IL 62901",2,145,no matching place
MD,"NSA 9800 Savage Road Fort George G Meade, MD 20755",1,145,no matching place
NC,1255 NC Highway 66 S Kernersville,1,145,no matching place
NJ,NO. BERGEN,1,145,no matching place
WA,"Seattle, Woodinville",1,145,2 distinct places named
GA,30313,1,144,no place name in the string
GA,Pelhan,1,144,no matching place
GA,St Mountain,1,144,no matching place
IL,"2475 W. Station Kankakee, IL 60901",2,144,no matching place
IL,"30 NORTH CENTRAL PARK PLAZA JACKSONVILLE, IL 62650-2024",1,144,no matching place
IL,"4950 W. Thomas Chicago, IL 60651",1,144,no matching place
IL,"NORTH PARK MALL 250 W NORTH AVENUE VILLA PARK, IL 60181",1,144,no matching place
IL,"O'Hare International Airport Terminal 5 Room UL124 and Gate M-4 Chicago, IL 60666-1042",2,144,no matching place
MN,Warrendale,1,144,no matching place
OH,Hills,1,144,no matching place
CT,Mashuntucket,2,143,no matching place
FL,32408,1,143,no place name in the string
IL,"HIGHWAY 251 AND MCCURRY ROAD ROSCOE, IL 61073",1,143,no matching place
CO,"Denver, Broomfield",3,142,2 distinct places named
IL,"RADIO SUPPORT CENTER 3761 SOUTH CENTRAL AVENUE ROCKFORD, IL 61102",1,142,no matching place
MD,"Union Memorial 201 E. University Parkway Baltimore, MD 21218",1,142,no matching place
WA,"Lynnwood, Marysville, Pasco, Puyallup, Spokane Valley",1,142,5 distinct places named
WI,"Janesville, Milton",1,142,2 distinct places named
IL,"1020 Olympic Dr. 950 Raddant Rd. Batavia, IL 60510",1,141,no matching place
IL,"2640 W BRADLEY PLACE 600 W CHICAGO CHICAGO, IL 60618",1,141,no matching place
AL,Tanner,1,140,no matching place
GA,Elbertton,1,140,no matching place
GA,Elijay,1,140,no matching place
IL,"413 NORTH MILWAUKEE AVENUE SOUTH KITSAP MALL VERNON HILLS, IL 60061",1,140,no matching place
IL,"423 ST. PAUL BLVD. CAROL STREAM, IL 60188",1,140,no matching place
IL,"HIGHWAY 142 SOUTH MT. VERNON, IL 62864",1,140,no matching place
IN,Anderson & Indianapolis,1,140,2 distinct places named
IN,Lake Counties,1,140,no matching place
LA,(Premier Health Urgent Care),1,140,no matching place
MD,"Woodlawn, MD",1,140,name matches more than one place
OH,Middlefield of WIA-Rapid,1,140,no matching place
OR,"Portland, Tigard",1,140,2 distinct places named
VA,Centerville VA,1,140,no matching place
WI,"Altoona, Eau Claire, Augusta",1,140,2 distinct places named
WI,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids",1,140,26 distinct places named
WI,"Milwaukee, Pewaukee, and Waukesha",1,140,2 distinct places named
