state,source,notice_year,notices,workers
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2016,662,60954
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2017,660,56138
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2018,671,65680
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2019,708,59168
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2020,5795,632210
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2021,509,43149
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2022,544,40130
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2023,881,63340
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2024,808,56483
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2025,1218,67646
CA,https://edd.ca.gov/en/Jobs_and_Training/Layoff_Services_WARN,2026,940,47315
CA,unknown,unknown,10635,864608
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2015,63,6687
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2016,57,5729
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2017,32,2854
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2018,35,3884
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2019,35,4010
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2020,276,32447
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2021,40,3946
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2022,30,3111
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2023,89,5538
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2024,67,5321
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2025,68,6049
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,2026,25,3483
CO,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,unknown,10,1796
CT,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,2025,15,834
CT,https://dolpublicdocumentlibrary.ct.gov/CsblrCategory?prefix=%2Frapid_response%2Fwarn_documents,2026,13,2356
