prior_kind,prior_score,prior_method,prior_detail,source_employer,prior_source_notice_date,source_effective_date,source_notice_id,source_dedupe_key,related_employer,prior_related_notice_date,related_effective_date,related_source_notice_id,related_dedupe_key,review_status
possible_duplicate,0.681,fuzzy,jw=0.946 'Ayr Wellness (DBA BP Solutions LLC) Crane Way Location' ~ 'Ayr Wellness (DBA BP Solutions LLC) Hymer Ave Location',Ayr Wellness (DBA BP Solutions LLC) Hymer Ave Location,2025-07-31,2025-09-29,995719556391967fc89e72ed4c5f5e3dca03483ce71c98e4a2263c3b,3a82f1af042cd768d4d169de78bf8b6c98a5bb20,Ayr Wellness (DBA BP Solutions LLC) Crane Way Location,2025-07-31,2025-09-29,11fc29e883e1432acf79e437d61e01f8394e46bf05a5de432cf4c056,0fc362616aa3b0338405eb08dace259ed0c94c8a,date_role_changed_requires_relink
amendment_of,0.97,amendment,"refiled 32d later, same location",Spirit Airlines Inc,2025-10-31,2026-01-01,44cf37ae351196a6290a568cf15e15e85826f79caef827833f04634e,78e080ebaffbc319c37edac8479ff65e3ca231c0,Spirit Airlines Inc,2025-09-29,2025-12-01,a1490229baf4729dfe4f10a69c22337185b61603d24f5ea815eb3fee,02e84f921c47ed341efa4955b6d7cfa3f5c01b97,date_role_changed_requires_relink
amendment_of,0.97,amendment,"refiled 2d later, same location","Arrow Electronics, Inc.",2019-07-18,2019-07-18,5e03ab27f337efd6575bc4ecd0bc3ebfce58208b1a93b286a824befa,f1691da2f3ccb4d613162a6e4daa32c08f3f7b0f,"Arrow Electronics, Inc.",2019-07-16,2019-09-14,3a2b14ab4f7901e57e5094c20d78d3a15c0e88bb7a80ba17df58c320,886dd87516160301c55e363dcb37eb0db3e7a37c,date_role_changed_requires_relink
