iebs_id,old_notice_id,old_version,old_dedupe_key,old_raw_record_hash,old_employer_name,old_workers,new_notice_id,new_dedupe_key,new_source_notice_id,new_employer_name,new_workers,status
20021007003,22548,1,e2394c3a860c954b2d872c7aae737ba89489d128,00d09790197552f125efbe9fc01a2e7e39aa3df6,Vonachen Services,95,27029,85963852894f942f8b85543689be3100e30053b4,b6636f0377efe9222866eefe5d4b960860200a36bea5abb56a7d7382,Vonachen Services,95,matched_iebs_id
20021021001,22555,1,e1e7995bc1be909de6a74c1337ef29a454238d91,88eea0bdefe4f42dc8ea9f7292217bd58f4a9051,O'HARE OASIS TRAVEL/ABE LINCOLN TRAVEL,79,27036,949190b09c8a2fafe7f18cfdedbf53553cd5017c,1aae434a8e5748130bb28f7d443540783ea21dc5c79999db05dce4e6,O'HARE OASIS TRAVEL/ABE LINCOLN TRAVEL,79,matched_iebs_id
20021021002,22551,1,b7422fc50a5acd4f98b203132f6417af3d98d486,c6bc1f27d2186257cb319e3a126b7dcc1fa72358,GALILEO INTERNATIONAL,40,27032,4a1559d0a9a37cd9d9b68dd7cae771454a83f42d,7ae34e6040f2b4ae12d6d70f3f964be7f0b67cfa4eae7822f8486adc,GALILEO INTERNATIONAL,40,matched_iebs_id
20021022001,22552,1,f97a8e38c34d4701d7c6fb0aa317a75ae6465d3e,fdbe50cb60299203a3a4aabde8bf445ba1325e47,"CC Services, Inc.",10,27033,a3d8d2dff22459a87427447c0bd56a2624c58a9a,0bdc6146b8775600361a0cf300a77e1bde41ee9369b5b6a342e4409d,"CC Services, Inc.",10,matched_iebs_id
20021022001,22552,2,f97a8e38c34d4701d7c6fb0aa317a75ae6465d3e,306e44eeee67a20acb2ee37b404db93fbfe5a2c7,"CC Services, Inc.",10,27033,a3d8d2dff22459a87427447c0bd56a2624c58a9a,0bdc6146b8775600361a0cf300a77e1bde41ee9369b5b6a342e4409d,"CC Services, Inc.",10,matched_iebs_id
20021101001,22553,1,304c133350e319ccb3f0e43f4d191ad00f85ac43,cd2910438849dd746225e9e98f409c2a1c08b031,Fresh Express,174,27034,1c1ab0d48d596660b8905fbedbc7d346d8e5e762,1a935aa5e7dd562ad3aebcd24bb243db5cb523e8a46d5033eae96b23,Fresh Express,174,matched_iebs_id
20021101001,22553,2,304c133350e319ccb3f0e43f4d191ad00f85ac43,003c044ab458923716d22700096b14a923e76e9a,Fresh Express,174,27034,1c1ab0d48d596660b8905fbedbc7d346d8e5e762,1a935aa5e7dd562ad3aebcd24bb243db5cb523e8a46d5033eae96b23,Fresh Express,174,matched_iebs_id
20021106001,22556,1,c0c4ad1603aa44b1f17e7c4483c9112c064fa0eb,7769a02dce5b04cb0532aceec7d66aea1d9fe4b4,OHMITE MANUFACTURING COMPANY,140,27037,8462f8c63099d66ee7b2152c5928748e9c57698a,14000ec32b2253704f7971f14ece243ed14f274e12a8d95787a72faf,OHMITE MANUFACTURING COMPANY,140,matched_iebs_id
20021107001,22557,1,c349d7a5b5a42449c51c69988147b3471b394705,397eb8684eddefa0c97054ee366f1aee64e298e2,SAKS FIFTH AVENUE,81,27038,238ba28ad47dd2f939eb3a76e0fa6e798eb72c9c,3dc24197ba117a8085b2094aa809ad593ad3649ef446e08aa99eb595,SAKS FIFTH AVENUE,81,matched_iebs_id
20021107001,22557,2,c349d7a5b5a42449c51c69988147b3471b394705,0fe9afca5b2d44e7934802c09683e2a0670115b1,SAKS FIFTH AVENUE,81,27038,238ba28ad47dd2f939eb3a76e0fa6e798eb72c9c,3dc24197ba117a8085b2094aa809ad593ad3649ef446e08aa99eb595,SAKS FIFTH AVENUE,81,matched_iebs_id
